coin,weight
mft,9.944262566534388e-05
mgo,4.32052363287371e-05
miota,0.007816053529396001
mith,0.00042381538322443777
mitx,2.545952306110121e-06
mkr,0.0014245770102014623
mlm,6.075765511531041e-05
mln,3.0011206880340917e-05
mntp,3.03927741412347e-06
mnx,5.413471707671454e-05
mod,6.486980860204206e-05
moin,1.9046357266496395e-06
mona,0.0003532563937307405
more,1.7529150195126287e-06
mot,3.2194340251108386e-05
mrk,4.98537909741352e-06
mrx,4.6443343433117505e-05
mscn,6.267549540502672e-06
msp,4.2738575652023346e-05
msr,7.761052072045881e-06
mth,2.560084987905595e-05
mtl,9.580271661343235e-05
mtn,2.464283101253969e-05
mue,1.8358786058580696e-05
mvp,2.0181190220482194e-05
mwat,4.155390489733181e-05
mxt,1.6346121857011466e-06
myb,9.655907469800754e-06
myst,1.2325977113143706e-05
n8v,4.747903225430654e-06
nanj,5.187240131429857e-05
nano,0.0015255640184473527
nas,0.0003285443123404658
nav,8.487636261235542e-05
navi,1.5211870918677278e-05
nbai,1.2409644683651972e-05
nbc,1.8811361137787687e-05
ncash,0.00010958525977574015
ncp,2.352001292726067e-06
nct,2.3413419613413583e-05
nebl,0.0001312483027147923
nec,0.0002998920252065404
neo,0.005891551496470795
neos,1.228085742606095e-05
net,2.395342078290271e-06
neu,5.2277740186258444e-05
nexo,0.00014310873624483747
ngc,8.154540531353072e-05
nim,1.4542695132773468e-05
nio,7.054162755038585e-06
nka,2.54583780497822e-06
nkn,2.4574692500596226e-05
nlc2,2.268855994487516e-05
nlg,5.5909782619356226e-05
nmc,5.0461091126506884e-05
nmr,2.329474279507889e-05
noahp,0.000184805136836233
nobl,5.347256529646821e-06
noku,1.4748145054061229e-05
note,1.78327760028631e-05
nper,8.813623448587207e-06
nplc,0.000152766400504407
npx,2.008690783232481e-05
npxs,0.0008424959000858698
nrve,7.033559502978418e-06
nsd,7.170324383439593e-06
nsr,2.9566363552039237e-06
ntrn,4.074886644571098e-06
nty,0.0001450994124051964
nuls,0.0002465914216764805
nvc,1.2346713567246391e-05
nxc,8.258970214541507e-06
nxs,0.000247354319828306
nxt,0.00032866423002319667
nyc,1.8256051630334007e-05
oax,1.9712220219922352e-05
obits,9.05475417244496e-06
ocl,2.332125075062775e-06
ocn,0.0001906214530208604
oct,2.5149820524906164e-05
odn,1.7011827513481957e-06
ok,1.2617581286844847e-05
okb,0.002111463952348053
olt,1.379534744246199e-05
omg,0.002420146642143721
omni,3.343696513355493e-05
omx,2.0690638821320736e-05
onion,3.3249630297562535e-05
ont,0.005160061105871467
oot,2.3685524904227588e-05
orb,2.5016999676847708e-06
ore,4.205429947784072e-06
orme,3.788445899890025e-05
ors,2.548739722075642e-05
ost,5.85208019380701e-05
otn,1.1989626195311331e-05
oxy,1.668491973531457e-05
ozc,3.881586583895834e-06
pareto,5.957599160399561e-06
part,0.00012288822969490639
pasc,5.5652752227204003e-05
pat,1.5589332481275282e-05
payx,2.611083086498826e-05
pbl,6.338483407376087e-06
pch,4.425115760506231e-05
pcl,1.054470314486071e-05
pepecash,3.0975646358384534e-05
pfr,5.511738304555669e-06
pgl,2.214030987812351e-05
pho,3.122031537742068e-06
phr,3.633657851138448e-05
phx,5.3209308803041973e-05
pi,6.519788254642162e-05
ping,2.736415824480002e-06
pink,1.0901273443358593e-05
pirl,1.2186478980018388e-05
pivx,0.0002289852944276379
pix,5.543102551250503e-06
pkx,1.2810025255773341e-05
plan,3.480908409519438e-06
play,5.7568476476362965e-06
plbt,3.610333886641281e-05
plr,8.823511570227685e-05
plu,9.871532373023414e-06
pma,8.175001448197216e-05
pmd,8.567530465641938e-05
pmnt,2.19602190049328e-06
pnd,2.113019708688353e-05
pnt,0.00010454032260546141
poa,7.728862352226484e-05
poe,9.980604921354495e-05
polis,1.8713950463276092e-05
poll,8.786964703234168e-06
poly,0.00022611628379036485
pot,3.5196479517661906e-05
powr,0.0003200282549374718
ppc,0.00013099015776200153
ppp,4.790201685360331e-05
ppt,0.0006182967381303517
ppy,3.1295909124310614e-05
pra,2.927263139158051e-05
pre,6.996000177483958e-05
prix,6.717336463962649e-06
pro,3.132530105190521e-05
proc,0.00016876045892502467
pst,4.875900818578505e-05
ptc,1.2739932697370566e-05
ptm,4.27046335909341e-06
ptoy,1.209114324869738e-05
ptt,4.2944178338308645e-06
pura,6.518493162713589e-05
put,6.281794358794625e-06
pwr,3.2431260116605078e-06
pylnt,2.838965247350191e-06
qash,0.0003404231605327296
qkc,0.00046772713165250506
qlc,6.392240681399428e-05
qrk,9.676964879396557e-06
qrl,7.114603802483035e-05
qsp,0.00010202015041748992
qtum,0.0016226031592864103
qun,2.6126546596304765e-05
quo,4.509145158980314e-06
qwark,8.444804839518061e-06
rads,2.248605478134074e-05
raise,3.535942997918372e-06
rby,4.445238496389884e-05
rcn,5.6890146754194143e-05
rct,1.0781346475326105e-05
rdc,0.00010898707498268336
rdd,0.0004988356751651257
rdn,0.00011287255820568526
real,1.188802015467704e-05
ref,3.1462731827798333e-06
rem,1.7484779802836454e-05
ren,8.599258592386299e-05
rep,0.0007755710003370546
repo,4.438711059465168e-05
req,0.0001391563593189123
rev,0.00011006215738689471
rex,3.913947264961795e-06
rfr,4.74912228969043e-05
riya,2.5024902366396402e-06
rlc,0.0001247621631800648
rmt,2.9084392644543582e-05
rnt,0.00010458489549141118
rntb,1.729718934448632e-05
rock2,2.4814842932890446e-05
rte,3.2261785949421784e-05
ruff,9.484755386492739e-05
rupx,1.7371066795721858e-06
rvn,0.000144150350531507
rvr,3.4853404045370844e-05
rvt,1.3267320623555856e-05
sai,0.00023791229914564132
sal,8.694665608564325e-06
salt,0.0001604652157399484
san,0.0001460636262250768
sbd,7.165374914865842e-05
sc,0.0010492967381002466
scr,4.275016079812391e-05
seele,8.314077910711161e-05
sem,1.3470447248495539e-05
sen,2.7335875973607007e-05
senc,1.1829732888894829e-05
send,7.379024733270509e-06
sent,2.0965989714699823e-05
seq,1.3800504070928908e-05
sexc,4.771706468458946e-06
sgn,2.893929476361232e-06
sgr,2.0033118942963854e-06
shard,5.211358340953479e-06
shift,4.0708108877535294e-05
ship,1.1710051139947962e-05
shl,5.5522932934274386e-06
shmn,2.2718107416602506e-06
shnd,1.751856505977783e-05
sib,1.57187737926734e-05
sift,2.860958475809444e-06
sig,5.72776116849943e-06
skb,0.00011218164536884439
skill,6.5535634315321275e-06
skin,3.6341186971696213e-06
skm,1.8554784432817705e-05
sky,0.0001695270640713258
slr,2.1210147610476426e-05
smart,0.0002439602967409263
smly,2.2476138511794078e-06
sms,5.370679071242665e-06
smt,0.00012846128412947428
snc,2.0511824632286586e-05
sngls,6.560539246272237e-05
snip,8.2646212246104e-06
snm,9.847173936100216e-05
snov,7.243413952467065e-06
sntr,1.4669837822866939e-05
snx,3.654759670159641e-05
soar,5.622590193340216e-05
soc,9.797115279216676e-05
spac,5.980178546034644e-06
space,5.868466841781487e-06
spank,8.672449378506053e-05
spc,3.1458174470723977e-05
spd,3.698045263117608e-05
spf,6.304332802452011e-06
sphr,6.380286207801691e-06
sphtx,6.93169451237522e-05
spn,3.820426690469893e-06
spx,7.121471855612619e-06
srh,2.1151945104685842e-05
srn,0.00019077814048583201
ss,1.075431094015316e-05
ssc,1.7377434254525026e-05
ssp,9.940644292870726e-06
sss,1.9929640169743925e-06
stak,1.6420643524849515e-06
star,4.083563497174377e-06
steem,0.0011115280099652264
stmx,0.00016868394262489734
storj,0.0001779302623645357
stq,0.00010705714754521201
strat,0.0007124454800647341
strc,2.1611753035493517e-06
sub,0.0002184576932219312
super,3.0856947196292552e-06
sur,1.7553487589274617e-06
svd,1.3163196571636046e-05
swftc,5.3227363794847244e-05
swm,2.8533559243391382e-05
swt,1.167065421455224e-05
swth,2.5300320144801818e-05
sxc,2.6987423784063356e-06
sxdt,0.00011113966410736496
sxut,1.0575547505825875e-05
synx,5.130510173262615e-06
sys,0.00023401823592461015
taas,2.3481513003692187e-05
tag,2.5153938876180885e-06
talk,1.727789516120749e-06
tau,3.346622270976964e-05
tbx,4.363644483994846e-06
tcc,3.128162704466188e-06
tct,7.000340270628932e-05
team,1.711633796310967e-06
tel,0.00013961055764167486
ten,7.124317068336619e-05
ter,2.078410083817892e-06
tern,4.557495590917543e-05
