Date,BITX,% Change
Fri Nov 03 2017 20:00:00 GMT-0400,8798.26,3.53%
Sat Nov 04 2017 20:00:00 GMT-0400,8931.86,1.52%
Sun Nov 05 2017 19:00:00 GMT-0500,8916.15,-0.18%
Mon Nov 06 2017 19:00:00 GMT-0500,8569.96,-3.88%
Tue Nov 07 2017 19:00:00 GMT-0500,8717.55,1.72%
Wed Nov 08 2017 19:00:00 GMT-0500,9154.45,5.01%
Thu Nov 09 2017 19:00:00 GMT-0500,9002.65,-1.66%
Fri Nov 10 2017 19:00:00 GMT-0500,8643.64,-3.99%
Sat Nov 11 2017 19:00:00 GMT-0500,8867.78,2.59%
Sun Nov 12 2017 19:00:00 GMT-0500,8513.45,-4.00%
Mon Nov 13 2017 19:00:00 GMT-0500,9062.57,6.45%
Tue Nov 14 2017 19:00:00 GMT-0500,9146.46,0.93%
Wed Nov 15 2017 19:00:00 GMT-0500,9656.05,5.57%
Thu Nov 16 2017 19:00:00 GMT-0500,9928.71,2.82%
Fri Nov 17 2017 19:00:00 GMT-0500,10064.56,1.37%
Sat Nov 18 2017 19:00:00 GMT-0500,10291.16,2.25%
Sun Nov 19 2017 19:00:00 GMT-0500,10480.99,1.84%
Mon Nov 20 2017 19:00:00 GMT-0500,10821.91,3.25%
Tue Nov 21 2017 19:00:00 GMT-0500,10585.1,-2.19%
Wed Nov 22 2017 19:00:00 GMT-0500,10988.43,3.81%
Thu Nov 23 2017 19:00:00 GMT-0500,11197.48,1.90%
Fri Nov 24 2017 19:00:00 GMT-0500,11644.08,3.99%
Sat Nov 25 2017 19:00:00 GMT-0500,12135.1,4.22%
Sun Nov 26 2017 19:00:00 GMT-0500,12650.31,4.25%
Mon Nov 27 2017 19:00:00 GMT-0500,13027.77,2.98%
Tue Nov 28 2017 19:00:00 GMT-0500,13195.04,1.28%
Wed Nov 29 2017 19:00:00 GMT-0500,12697.47,-3.77%
Thu Nov 30 2017 19:00:00 GMT-0500,12780.7,0.66%
Fri Dec 01 2017 19:00:00 GMT-0500,13913.63,8.86%
Sat Dec 02 2017 19:00:00 GMT-0500,13876.19,-0.27%
Sun Dec 03 2017 19:00:00 GMT-0500,14284.94,2.95%
Mon Dec 04 2017 19:00:00 GMT-0500,14680.19,2.77%
Tue Dec 05 2017 19:00:00 GMT-0500,14555.16,-0.85%
Wed Dec 06 2017 19:00:00 GMT-0500,16129.15,10.81%
Thu Dec 07 2017 19:00:00 GMT-0500,18564.9,15.10%
Fri Dec 08 2017 19:00:00 GMT-0500,18352.75,-1.14%
Sat Dec 09 2017 19:00:00 GMT-0500,17601.41,-4.09%
Sun Dec 10 2017 19:00:00 GMT-0500,17325.48,-1.57%
Mon Dec 11 2017 19:00:00 GMT-0500,19392.14,11.93%
Tue Dec 12 2017 19:00:00 GMT-0500,21544.95,11.10%
Wed Dec 13 2017 19:00:00 GMT-0500,21032.95,-2.38%
Thu Dec 14 2017 19:00:00 GMT-0500,22272.71,5.89%
Fri Dec 15 2017 19:00:00 GMT-0500,22711.79,1.97%
Sat Dec 16 2017 19:00:00 GMT-0500,24372.69,7.31%
Sun Dec 17 2017 19:00:00 GMT-0500,23752.81,-2.54%
Mon Dec 18 2017 19:00:00 GMT-0500,25031,5.38%
Tue Dec 19 2017 19:00:00 GMT-0500,24509.69,-2.08%
