Date,BITW20,% Change
Sat Oct 07 2017 20:00:00 GMT-0400,11898.15,0.08%
Sun Oct 08 2017 20:00:00 GMT-0400,10893.91,-8.44%
Mon Oct 09 2017 20:00:00 GMT-0400,10656.17,-2.18%
Tue Oct 10 2017 20:00:00 GMT-0400,11026.37,3.47%
Wed Oct 11 2017 20:00:00 GMT-0400,11614.94,5.34%
Thu Oct 12 2017 20:00:00 GMT-0400,10802.54,-6.99%
Fri Oct 13 2017 20:00:00 GMT-0400,10927.18,1.15%
Sat Oct 14 2017 20:00:00 GMT-0400,10772.7,-1.41%
Sun Oct 15 2017 20:00:00 GMT-0400,10722.38,-0.47%
Mon Oct 16 2017 20:00:00 GMT-0400,11399.42,6.31%
Tue Oct 17 2017 20:00:00 GMT-0400,11751.36,3.09%
Wed Oct 18 2017 20:00:00 GMT-0400,11436.17,-2.68%
Thu Oct 19 2017 20:00:00 GMT-0400,11336.65,-0.87%
Fri Oct 20 2017 20:00:00 GMT-0400,10707.71,-5.55%
Sat Oct 21 2017 20:00:00 GMT-0400,10735.7,0.26%
Sun Oct 22 2017 20:00:00 GMT-0400,10642.86,-0.86%
Mon Oct 23 2017 20:00:00 GMT-0400,10449.19,-1.82%
Tue Oct 24 2017 20:00:00 GMT-0400,11402.97,9.13%
Wed Oct 25 2017 20:00:00 GMT-0400,11258.83,-1.26%
Thu Oct 26 2017 20:00:00 GMT-0400,11096.92,-1.44%
Fri Oct 27 2017 20:00:00 GMT-0400,11034.97,-0.56%
Sat Oct 28 2017 20:00:00 GMT-0400,10648.83,-3.50%
Sun Oct 29 2017 20:00:00 GMT-0400,10885.52,2.22%
Mon Oct 30 2017 20:00:00 GMT-0400,10932.79,0.43%
Tue Oct 31 2017 20:00:00 GMT-0400,10781.31,-1.39%
Wed Nov 01 2017 20:00:00 GMT-0400,10188.9,-5.49%
Thu Nov 02 2017 20:00:00 GMT-0400,10124.09,-0.64%
Fri Nov 03 2017 20:00:00 GMT-0400,10695.19,5.64%
Sat Nov 04 2017 20:00:00 GMT-0400,10447.55,-2.32%
Sun Nov 05 2017 19:00:00 GMT-0500,10335.13,-1.08%
Mon Nov 06 2017 19:00:00 GMT-0500,10372.19,0.36%
Tue Nov 07 2017 19:00:00 GMT-0500,10824.82,4.36%
Wed Nov 08 2017 19:00:00 GMT-0500,12144.49,12.19%
Thu Nov 09 2017 19:00:00 GMT-0500,12871.74,5.99%
Fri Nov 10 2017 19:00:00 GMT-0500,11367.4,-11.69%
Sat Nov 11 2017 19:00:00 GMT-0500,11689.79,2.84%
Sun Nov 12 2017 19:00:00 GMT-0500,11217.15,-4.04%
Mon Nov 13 2017 19:00:00 GMT-0500,12136.19,8.19%
Tue Nov 14 2017 19:00:00 GMT-0500,13180.23,8.60%
Wed Nov 15 2017 19:00:00 GMT-0500,13930.96,5.70%
Thu Nov 16 2017 19:00:00 GMT-0500,13684.56,-1.77%
Fri Nov 17 2017 19:00:00 GMT-0500,13884.62,1.46%
Sat Nov 18 2017 19:00:00 GMT-0500,14619.34,5.29%
Sun Nov 19 2017 19:00:00 GMT-0500,14593.87,-0.17%
Mon Nov 20 2017 19:00:00 GMT-0500,15040.87,3.06%
Tue Nov 21 2017 19:00:00 GMT-0500,14762.09,-1.85%
Wed Nov 22 2017 19:00:00 GMT-0500,15092.11,2.24%
Thu Nov 23 2017 19:00:00 GMT-0500,14626.43,-3.09%
Fri Nov 24 2017 19:00:00 GMT-0500,15029.3,2.75%
Sat Nov 25 2017 19:00:00 GMT-0500,15810.59,5.20%
Sun Nov 26 2017 19:00:00 GMT-0500,16490.63,4.30%
Mon Nov 27 2017 19:00:00 GMT-0500,17619.4,6.84%
Tue Nov 28 2017 19:00:00 GMT-0500,18702.58,6.15%
Wed Nov 29 2017 19:00:00 GMT-0500,15886.8,-15.06%
Thu Nov 30 2017 19:00:00 GMT-0500,16417.48,3.34%
Fri Dec 01 2017 19:00:00 GMT-0500,18101.79,10.26%
Sat Dec 02 2017 19:00:00 GMT-0500,19099.28,5.51%
Sun Dec 03 2017 19:00:00 GMT-0500,19374.44,1.44%
Mon Dec 04 2017 19:00:00 GMT-0500,21174.81,9.29%
Tue Dec 05 2017 19:00:00 GMT-0500,22586.42,6.67%
Wed Dec 06 2017 19:00:00 GMT-0500,22881.26,1.31%
Thu Dec 07 2017 19:00:00 GMT-0500,21988.85,-3.90%
Fri Dec 08 2017 19:00:00 GMT-0500,28065.39,27.63%
Sat Dec 09 2017 19:00:00 GMT-0500,24955.07,-11.08%
