,Date,btc future last px,brr last px,log return future,log return bitcoin
857,2019-04-18,5295.0,5245.36,0.011396134730869582,0.008467966618019834
858,2019-04-17,5235.0,5201.13,0.006708218735118483,0.030922358429488418
859,2019-04-16,5200.0,5042.76,0.03722271049060814,-0.021662389149246033
860,2019-04-15,5010.0,5153.19,-0.010918222603873316,0.015535751220579978
864,2019-04-12,5065.0,5073.75,-0.0019723872272043464,0.007122620353144708
865,2019-04-11,5075.0,5037.74,-0.06484635552510286,-0.044700808048808854
866,2019-04-10,5415.0,5268.04,0.03667547855840657,0.01239608736713503
867,2019-04-09,5220.0,5203.14,0.0019175461292718545,-0.001887461426250296
868,2019-04-08,5210.0,5212.97,0.03714992206163769,0.04133191067336399
872,2019-04-05,5020.0,5001.9,0.03651521297509747,-0.003606117337777648
873,2019-04-04,4840.0,5019.97,-0.06208199394710438,-0.00041425928841917135
874,2019-04-03,5150.0,5022.05,0.07560274074295113,0.057526857171060264
875,2019-04-02,4775.0,4741.3,0.14632795414604918,0.1356566355153316
876,2019-04-01,4125.0,4139.83,0.011214159451222857,0.014714610825465537
880,2019-03-29,4079.0,4079.36,0.017060619016943633,0.015885331499806983
881,2019-03-28,4010.0,4015.07,0.0012476607981552772,0.00231396736528759
882,2019-03-27,4005.0,4005.79,0.025285797228673162,0.02387868505897142
883,2019-03-26,3905.0,3911.27,0.002564103968937634,-0.012647012192431261
884,2019-03-25,3895.0,3961.05,-0.021588139973634703,-0.006958728720618402
888,2019-03-22,3980.0,3988.71,0.003775964209535136,0.0064892664734185635
889,2019-03-21,3965.0,3962.91,-0.011285386231666533,-0.009323257209475619
890,2019-03-20,4010.0,4000.03,0.003747662100239749,0.006033117597533786
891,2019-03-19,3995.0,3975.97,0.008799553951848841,0.0029268362723671097
892,2019-03-18,3960.0,3964.35,0.01526747213078838,0.017283724377145353
896,2019-03-15,3900.0,3896.42,0.014202950177993535,0.010998508335054946
897,2019-03-14,3845.0,3853.8,0.0,0.0018882313251637123
898,2019-03-13,3845.0,3846.53,0.0,-0.004034455262894877
899,2019-03-12,3845.0,3862.08,0.0026041681383877297,0.006072130832594047
900,2019-03-11,3835.0,3838.7,-0.014239722811135388,-0.012856279064579989
904,2019-03-08,3890.0,3888.37,0.005154650588664422,0.004363515823876958
905,2019-03-07,3870.0,3871.44,0.007782140442054949,0.006660488678190965
906,2019-03-06,3840.0,3845.74,0.0013029317804160619,0.00526379438605494
907,2019-03-05,3835.0,3825.55,0.03854297676678363,0.031209600087650294
908,2019-03-04,3690.0,3708.0,-0.03462396456604801,-0.028987845087105273
912,2019-03-01,3820.0,3817.06,0.007884403524148835,-0.003862003077036841
913,2019-02-28,3790.0,3831.83,0.02133414247499114,0.008488808416255874
914,2019-02-27,3710.0,3799.44,-0.017368506081644253,-0.002822744665635899
915,2019-02-26,3775.0,3810.18,-0.011850039917495843,0.00678643584566497
916,2019-02-25,3820.0,3784.41,-0.028643423821239408,-0.037945339171353454
920,2019-02-22,3931.0,3930.77,0.00920016711701175,0.009370180304224257
921,2019-02-21,3895.0,3894.11,-0.01021720254665494,-0.005421691542410772
922,2019-02-20,3935.0,3915.28,0.0,-0.007389722670681082
923,2019-02-19,3935.0,3944.32,0.09874682800310734,0.10380618222614178
928,2019-02-15,3565.0,3555.41,0.0,-0.003422713684370422
929,2019-02-14,3565.0,3567.6,-0.0014015419252884445,-0.00031388727220630724
930,2019-02-13,3570.0,3568.72,-0.009756174945364685,-0.0012237795587924439
931,2019-02-12,3605.0,3573.09,0.0,-0.007455854483923871
932,2019-02-11,3605.0,3599.83,-0.002770084873815601,0.05059131468982657
936,2019-02-08,3615.0,3422.24,0.07912104862211897,0.017319155156173903
937,2019-02-07,3340.0,3363.48,0.0,-0.0003864297801147552
938,2019-02-06,3340.0,3364.78,-0.017804624633506707,-0.015842201568097927
939,2019-02-05,3400.0,3418.51,0.0014716706114562507,0.0028679293682046976
940,2019-02-04,3395.0,3408.72,-0.008797710703529197,-0.00618842088425866
944,2019-02-01,3425.0,3429.88,0.008797710703529131,0.005294056929966677
945,2019-01-31,3395.0,3411.77,-0.0044085302847659685,-0.00810652330049649
946,2019-01-30,3410.0,3439.54,0.01179954693115503,0.011627017867386884
947,2019-01-29,3370.0,3399.78,-0.002962965130657072,-0.0009731187752237168
948,2019-01-28,3380.0,3403.09,-0.051884835369011686,-0.0450767024424684
952,2019-01-25,3560.0,3560.0,-0.001403509002320198,0.001177659460905471
953,2019-01-24,3565.0,3555.81,0.008450754517723251,-0.003495196615000125
954,2019-01-23,3535.0,3568.26,-0.01264950106407286,-0.0004482973182843558
955,2019-01-22,3580.0,3569.86,-0.0013956736389746914,-0.013345255155370052
960,2019-01-18,3585.0,3617.82,-0.005563296685328715,0.004818351718099054
961,2019-01-17,3605.0,3600.43,0.012561225872973257,-0.004342814241208889
962,2019-01-16,3560.0,3616.1,0.007047245515402922,-0.0052350219816016605
963,2019-01-15,3535.0,3635.08,-0.032013868245864094,0.01129020824810832
964,2019-01-14,3650.0,3594.27,0.004118056608917548,-0.014550291085723595
968,2019-01-11,3635.0,3646.95,0.008287340248570287,-0.036388209089181486
969,2019-01-10,3605.0,3782.1,-0.10146946016485965,-0.054631493661861354
970,2019-01-09,3990.0,3994.47,0.0012539186595936812,-0.017532358274203814
971,2019-01-08,3985.0,4065.12,0.0,0.010559551301904509
972,2019-01-07,3985.0,4022.42,0.06211569527299566,0.07063199862572819
976,2019-01-04,3745.0,3748.11,-0.003997340432620401,-0.024158151714800548
977,2019-01-03,3760.0,3839.76,-0.018445845790751456,0.0038226396115036607
978,2019-01-02,3830.0,3825.11,0.0481376355981545,0.016030617130585106
980,2018-12-31,3650.0,3764.28,-0.016035130913053645,0.014912946792611391
984,2018-12-28,3709.0,3708.56,0.03959824464119441,-0.007505683276478821
985,2018-12-27,3565.0,3736.5,-0.05325490353554393,0.002132608269172468
986,2018-12-26,3760.0,3728.54,-0.07922404205270049,-0.11614686074262372
988,2018-12-24,4070.0,4187.75,0.07524261675351551,0.04787624844503164
992,2018-12-21,3775.0,3991.98,-0.026145280104322245,-0.010099182600599622
993,2018-12-20,3875.0,4032.5,0.04756510840514516,0.06432395436738786
994,2018-12-19,3695.0,3781.28,0.05564717871439149,0.06788124338120383
995,2018-12-18,3495.0,3533.12,-0.009964495259431829,0.041345512188664654
996,2018-12-17,3530.0,3390.02,0.11548398079280149,0.04550326099917696
1000,2018-12-14,3145.0,3239.22,-0.022013467537178835,-0.04550326099917703
1001,2018-12-13,3215.0,3390.02,-0.06181319338493112,-0.009862649732232916
1002,2018-12-12,3420.0,3423.62,0.02967576814611654,0.026189810082957753
1003,2018-12-11,3320.0,3335.12,-0.016430541396095927,-0.02259065243774623
1004,2018-12-10,3375.0,3411.32,0.022472855852058576,0.009442562553053202
1008,2018-12-07,3300.0,3379.26,-0.08701137698962981,-0.0700623561422924
1009,2018-12-06,3600.0,3624.51,-0.028749413285985938,-0.05300502563358894
1010,2018-12-05,3705.0,3821.81,-0.03578910785158528,-0.04367343094601112
1011,2018-12-04,3840.0,3992.42,0.010471299867295437,0.04166331696831996
1012,2018-12-03,3800.0,3829.5,-0.03947371758220832,-0.031740537947037344
1016,2018-11-30,3953.0,3953.0,-0.055836462222116454,-0.07511357384395838
1017,2018-11-29,4180.0,4261.36,-0.02830377616285182,0.02091481556353163
1018,2018-11-28,4300.0,4173.16,0.14489135441446163,0.1300089314360586
1019,2018-11-27,3720.0,3664.4,0.03140189754814278,-0.01759079580599888
1020,2018-11-26,3605.0,3729.43,-0.15037896319713392,-0.13737278352563614
1024,2018-11-23,4190.0,4278.61,-0.04662849315303357,-0.04748927445082761
1026,2018-11-21,4390.0,4486.7,0.03476595784321366,-0.034286318766352374
1027,2018-11-20,4240.0,4643.2,-0.1313178596613913,-0.09541981604704407
1028,2018-11-19,4835.0,5108.08,-0.1197344797698951,-0.08189266213282641
1032,2018-11-16,5450.0,5544.0,0.004597709248629549,0.025047744184700682
1033,2018-11-15,5425.0,5406.86,0.011121523343861416,-0.12697705531185452
