;Date;Last Px;Open Px;Volume;High Px;Low Px;;Contracts;;
Th;5/9/2019;10625;10790;3606;10810;10530;;;;
We;4/9/2019;10835;10840;3701;10965;10470;;;;
Tu;3/9/2019;10800;9795;7222;10925;9795;;;;
;;0;;;;;;;;
Fr;08/30/2019;9650;9590;2856;9780;9420;;;;
Th;08/29/2019;9570;9815;1611;9830;9400;;;;
We;08/28/2019;9745;10295;2059;10450;9630;;;;
Tu;08/27/2019;10300;10450;995;10535;10165;;;;
Mo;08/26/2019;10470;10080;777;10845;10080;;;;
;;0;;;;;;;;
Fr;08/23/2019;10550;10295;246;10635;10170;;;;
Th;08/22/2019;10275;10180;405;10340;9865;;;;
We;08/21/2019;10210;10940;427;10940;9940;;;;
Tu;08/20/2019;10845;10860;276;11100;10675;;;;
Mo;08/19/2019;10830;10585;552;10975;10425;;;;
;;0;;;;;;;;
Fr;08/16/2019;10625;10540;485;10670;9900;;;;
Th;08/15/2019;10240;10335;506;10520;9640;;;;
We;08/14/2019;10260;11085;392;11090;10185;;;;
Tu;08/13/2019;11090;11645;380;11680;10950;;;;
Mo;12/8/2019;11690;11765;211;11815;11500;;;;
;;0;;;;;;;;
Fr;9/8/2019;12090;12025;183;12380;11945;;;;
Th;8/8/2019;11825;12265;199;12335;11750;;;;
We;7/8/2019;12040;11815;428;12475;11555;;;;
Tu;6/8/2019;11970;12155;491;12610;11870;;;;
Mo;5/8/2019;12070;11155;616;12250;11155;;;;
;;0;;;;;;;;
Fr;2/8/2019;10705;10630;528;10955;10585;;;;
Th;1/8/2019;10520;10225;291;10730;10100;;;;
We;07/31/2019;10170;9840;206;10300;9840;;;;
Tu;07/30/2019;9785;9565;253;9950;9535;;;;
Mo;07/29/2019;9590;9685;469;9855;9285;;;;
;;0;;;;;;;;
Fr;07/26/2019;10085;10090;111;10115;9910;;;;
Th;07/25/2019;10070;9990;515;10420;9970;;;;
We;07/24/2019;9845;10390;535;10390;9710;;;;
Tu;07/23/2019;10415;10455;142;10455;10150;;;;
Mo;07/22/2019;10415;10945;254;10960;10375;;;;
;;0;;;;;;;;
Fr;07/19/2019;10710;10850;562;10950;10395;;;;
Th;07/18/2019;10755;10085;389;11005;9520;;;;
We;07/17/2019;9975;9700;317;10190;9170;;;;
Tu;07/16/2019;9815;11100;412;11200;9605;;;;
Mo;07/15/2019;11065;11000;218;11185;10000;;;;
;;0;;;;;;;;
Fr;12/7/2019;11870;11525;146;12150;11450;;;;
Th;11/7/2019;11825;12190;583;12505;11180;;;;
We;10/7/2019;12440;13000;510;13665;11970;;;;
Tu;9/7/2019;12970;12830;229;13295;12570;;;;
Mo;8/7/2019;12640;11665;156;12695;11665;;;;
;;0;;;;;;;;
Fr;5/7/2019;11440;11790;329;12250;11085;;;;
We;3/7/2019;11510;10995;206;11840;10995;;;;
Tu;2/7/2019;11120;10825;271;11210;10000;;;;
Mo;1/7/2019;10510;11530;376;11530;10325;;;;
;;0;;;;;;;;
Fr;06/28/2019;11764;10865;385;12020;10815;;;;
Th;06/27/2019;10855;12500;23272;13340;10285;;;;
We;06/26/2019;13885;11520;21334;13915;11520;;;;
Tu;06/25/2019;11380;11035;10348;11525;11010;;;;
Mo;06/24/2019;10945;10925;9902;11160;10615;;;;
;;0;;;;;;;;
Fr;06/21/2019;9980;9615;6905;10060;9560;;;;
Th;06/20/2019;9625;9320;5347;9705;9260;;;;
We;06/19/2019;9210;9020;2222;9255;8985;;;;
Tu;06/18/2019;9115;9365;6733;9575;8985;;;;
Mo;06/17/2019;9380;9065;6926;9495;9055;;;;
;;0;;;;;;;;
Fr;06/14/2019;8440;8365;2084;8515;8215;;;;
Th;06/13/2019;8285;8180;2079;8330;8070;;;;
We;12/6/2019;8195;7930;3930;8340;7830;;;;
Tu;11/6/2019;7920;7980;2537;8085;7720;;;;
Mo;10/6/2019;8010;7675;3256;8115;7515;;;;
;;0;;;;;;;;
Fr;7/6/2019;8010;7765;2925;8175;7740;;;;
Th;6/6/2019;7610;7745;4391;7915;7460;;;;
