,file,risk measure,OHR,copula
187,100.csv,ERM k=10,1.1836914062500004,Gauss Mix Indep
188,100.csv,ERM k=10,1.0708984375,rotGumbel
189,100.csv,ERM k=10,1.2205000677691522,NIG
190,100.csv,ES q=0.01,1.1330078125,Gaussian
191,100.csv,ES q=0.01,1.1217773437499998,t_Copula
192,100.csv,ES q=0.01,1.1217773437499998,t_Copula_Capped
193,100.csv,ES q=0.01,0.8416992187499999,Clayton
194,100.csv,ES q=0.01,0.99013671875,Frank
195,100.csv,ES q=0.01,1.345898437500001,Gumbel
196,100.csv,ES q=0.01,0.8892578124999999,Plackett
197,100.csv,ES q=0.01,0.97890625,Gauss Mix Indep
198,100.csv,ES q=0.01,0.8749999999999999,rotGumbel
199,100.csv,ES q=0.01,0.9369882676569607,NIG
200,100.csv,ES q=0.05,1.1863281250000006,Gaussian
201,100.csv,ES q=0.05,1.1788085937500004,t_Copula
202,100.csv,ES q=0.05,1.1788085937500004,t_Copula_Capped
203,100.csv,ES q=0.05,1.0484375,Clayton
204,100.csv,ES q=0.05,1.1654296875000003,Frank
205,100.csv,ES q=0.05,1.4184570312500009,Gumbel
206,100.csv,ES q=0.05,1.068359375,Plackett
207,100.csv,ES q=0.05,1.1566406250000003,Gauss Mix Indep
208,100.csv,ES q=0.05,1.00693359375,rotGumbel
209,100.csv,ES q=0.05,1.0875195245131086,NIG
210,100.csv,VaR q=0.01,1.1799804687500006,Gaussian
211,100.csv,VaR q=0.01,1.1716796875000004,t_Copula
212,100.csv,VaR q=0.01,1.1716796875000004,t_Copula_Capped
213,100.csv,VaR q=0.01,1.0188476562499995,Clayton
214,100.csv,VaR q=0.01,1.1154296875000005,Frank
215,100.csv,VaR q=0.01,1.5109375000000014,Gumbel
216,100.csv,VaR q=0.01,1.0328125,Plackett
217,100.csv,VaR q=0.01,1.14638671875,Gauss Mix Indep
218,100.csv,VaR q=0.01,0.9603515625,rotGumbel
219,100.csv,VaR q=0.01,1.0900087017946534,NIG
220,100.csv,VaR q=0.05,1.2359375000000008,Gaussian
221,100.csv,VaR q=0.05,1.2403320312500008,t_Copula
222,100.csv,VaR q=0.05,1.2403320312500008,t_Copula_Capped
223,100.csv,VaR q=0.05,1.2722656250000006,Clayton
224,100.csv,VaR q=0.05,1.340625000000001,Frank
225,100.csv,VaR q=0.05,1.3763671875000008,Gumbel
226,100.csv,VaR q=0.05,1.2886718750000008,Plackett
227,100.csv,VaR q=0.05,1.272753906250001,Gauss Mix Indep
228,100.csv,VaR q=0.05,1.1631835937500004,rotGumbel
229,100.csv,VaR q=0.05,1.24964157079778,NIG
230,100.csv,Variance,1.2346679687500006,Gaussian
231,100.csv,Variance,1.2316406250000007,t_Copula
232,100.csv,Variance,1.2316406250000007,t_Copula_Capped
233,100.csv,Variance,1.2788085937500009,Clayton
234,100.csv,Variance,1.2330078125000006,Frank
235,100.csv,Variance,1.2371093750000006,Gumbel
236,100.csv,Variance,1.1897460937500006,Plackett
237,100.csv,Variance,1.2097656250000006,Gauss Mix Indep
238,100.csv,Variance,1.2181640625000003,rotGumbel
239,100.csv,Variance,1.187420380880461,NIG
240,101.csv,ERM k=10,1.1976562500000003,Gaussian
241,101.csv,ERM k=10,1.2176757812500003,t_Copula
242,101.csv,ERM k=10,1.1934570312500004,t_Copula_Capped
243,101.csv,ERM k=10,1.1580078125000004,Clayton
244,101.csv,ERM k=10,1.2278320312500006,Frank
245,101.csv,ERM k=10,1.362597656250001,Gumbel
246,101.csv,ERM k=10,1.1635742187500004,Plackett
247,101.csv,ERM k=10,1.1941406250000006,Gauss Mix Indep
248,101.csv,ERM k=10,1.0752929687500004,rotGumbel
249,101.csv,ERM k=10,1.201985650232624,NIG
250,101.csv,ES q=0.01,1.1406250000000002,Gaussian
251,101.csv,ES q=0.01,1.1463867187500003,t_Copula
252,101.csv,ES q=0.01,1.1296875000000002,t_Copula_Capped
253,101.csv,ES q=0.01,0.8427734374999998,Clayton
254,101.csv,ES q=0.01,0.99658203125,Frank
255,101.csv,ES q=0.01,1.367578125000001,Gumbel
256,101.csv,ES q=0.01,0.8826171874999998,Plackett
257,101.csv,ES q=0.01,1.13564453125,Gauss Mix Indep
258,101.csv,ES q=0.01,0.8676757812499999,rotGumbel
259,101.csv,ES q=0.01,0.9604098888628358,NIG
260,101.csv,ES q=0.05,1.1933593750000004,Gaussian
261,101.csv,ES q=0.05,1.2095703125000006,t_Copula
262,101.csv,ES q=0.05,1.1851562500000004,t_Copula_Capped
263,101.csv,ES q=0.05,1.0474609375,Clayton
264,101.csv,ES q=0.05,1.1730468750000005,Frank
265,101.csv,ES q=0.05,1.4366210937500012,Gumbel
266,101.csv,ES q=0.05,1.06982421875,Plackett
267,101.csv,ES q=0.05,1.1902343750000006,Gauss Mix Indep
268,101.csv,ES q=0.05,1.0066406250000002,rotGumbel
269,101.csv,ES q=0.05,1.11984876620101,NIG
270,101.csv,VaR q=0.01,1.1984375000000007,Gaussian
271,101.csv,VaR q=0.01,1.1993164062500008,t_Copula
272,101.csv,VaR q=0.01,1.1711914062500006,t_Copula_Capped
273,101.csv,VaR q=0.01,0.99599609375,Clayton
274,101.csv,VaR q=0.01,1.10341796875,Frank
275,101.csv,VaR q=0.01,1.5268554687500018,Gumbel
276,101.csv,VaR q=0.01,1.0001953125000005,Plackett
277,101.csv,VaR q=0.01,1.1917968750000003,Gauss Mix Indep
278,101.csv,VaR q=0.01,0.96484375,rotGumbel
279,101.csv,VaR q=0.01,1.0973434161609368,NIG
280,101.csv,VaR q=0.05,1.2531250000000007,Gaussian
281,101.csv,VaR q=0.05,1.2722656250000006,t_Copula
282,101.csv,VaR q=0.05,1.2417968750000008,t_Copula_Capped
283,101.csv,VaR q=0.05,1.2625000000000006,Clayton
284,101.csv,VaR q=0.05,1.3627929687500009,Frank
285,101.csv,VaR q=0.05,1.4152343750000012,Gumbel
286,101.csv,VaR q=0.05,1.2830078125000008,Plackett
287,101.csv,VaR q=0.05,1.2507812500000006,Gauss Mix Indep
288,101.csv,VaR q=0.05,1.13876953125,rotGumbel
289,101.csv,VaR q=0.05,1.2525804476487534,NIG
290,101.csv,Variance,1.2339843750000008,Gaussian
291,101.csv,Variance,1.2526367187500007,t_Copula
292,101.csv,Variance,1.2309570312500004,t_Copula_Capped
293,101.csv,Variance,1.2877929687500007,Clayton
294,101.csv,Variance,1.2393554687500008,Frank
295,101.csv,Variance,1.2327148437500006,Gumbel
296,101.csv,Variance,1.1881835937500005,Plackett
297,101.csv,Variance,1.2304687500000009,Gauss Mix Indep
298,101.csv,Variance,1.2178710937500004,rotGumbel
299,101.csv,Variance,1.1883545475093973,NIG
300,102.csv,ERM k=10,1.1964843750000007,Gaussian
301,102.csv,ERM k=10,1.1924804687500008,t_Copula
302,102.csv,ERM k=10,1.1924804687500008,t_Copula_Capped
303,102.csv,ERM k=10,1.1941406250000006,Clayton
304,102.csv,ERM k=10,1.2211914062500004,Frank
305,102.csv,ERM k=10,1.3614257812500008,Gumbel
306,102.csv,ERM k=10,1.1646484375000006,Plackett
307,102.csv,ERM k=10,1.1948242187500004,Gauss Mix Indep
308,102.csv,ERM k=10,1.0815429687500004,rotGumbel
309,102.csv,ERM k=10,1.2108709949344154,NIG
310,102.csv,ES q=0.01,1.1283203125000003,Gaussian
311,102.csv,ES q=0.01,1.1171875,t_Copula
312,102.csv,ES q=0.01,1.1171875,t_Copula_Capped
313,102.csv,ES q=0.01,0.8726562499999999,Clayton
314,102.csv,ES q=0.01,0.99052734375,Frank
315,102.csv,ES q=0.01,1.379785156250001,Gumbel
316,102.csv,ES q=0.01,0.8800781249999998,Plackett
317,102.csv,ES q=0.01,1.1251953125,Gauss Mix Indep
318,102.csv,ES q=0.01,0.8650390625,rotGumbel
319,102.csv,ES q=0.01,0.9526669154763796,NIG
320,102.csv,ES q=0.05,1.1921875000000006,Gaussian
321,102.csv,ES q=0.05,1.1858398437500006,t_Copula
322,102.csv,ES q=0.05,1.1858398437500006,t_Copula_Capped
323,102.csv,ES q=0.05,1.0832031250000005,Clayton
324,102.csv,ES q=0.05,1.1623046875000005,Frank
325,102.csv,ES q=0.05,1.4322265625000012,Gumbel
326,102.csv,ES q=0.05,1.068359375,Plackett
327,102.csv,ES q=0.05,1.1904296875000004,Gauss Mix Indep
328,102.csv,ES q=0.05,1.00634765625,rotGumbel
329,102.csv,ES q=0.05,1.096533594797103,NIG
330,102.csv,VaR q=0.01,1.1777343750000004,Gaussian
331,102.csv,VaR q=0.01,1.1727539062500003,t_Copula
332,102.csv,VaR q=0.01,1.1716796875000004,t_Copula_Capped
333,102.csv,VaR q=0.01,1.0212890625,Clayton
334,102.csv,VaR q=0.01,1.1263671875000003,Frank
335,102.csv,VaR q=0.01,1.4922851562500012,Gumbel
336,102.csv,VaR q=0.01,0.993359375,Plackett
337,102.csv,VaR q=0.01,1.1759765625000005,Gauss Mix Indep
338,102.csv,VaR q=0.01,0.96416015625,rotGumbel
339,102.csv,VaR q=0.01,1.0248639929560133,NIG
340,102.csv,VaR q=0.05,1.2543945312500004,Gaussian
341,102.csv,VaR q=0.05,1.2407226562500009,t_Copula
342,102.csv,VaR q=0.05,1.2407226562500009,t_Copula_Capped
343,102.csv,VaR q=0.05,1.3086914062500008,Clayton
344,102.csv,VaR q=0.05,1.3462890625000008,Frank
345,102.csv,VaR q=0.05,1.383007812500001,Gumbel
346,102.csv,VaR q=0.05,1.2925781250000008,Plackett
347,102.csv,VaR q=0.05,1.2595703125000006,Gauss Mix Indep
348,102.csv,VaR q=0.05,1.1692382812500006,rotGumbel
349,102.csv,VaR q=0.05,1.2276352393315553,NIG
350,102.csv,Variance,1.2224609375000004,Gaussian
351,102.csv,Variance,1.2193359375000004,t_Copula
352,102.csv,Variance,1.2193359375000004,t_Copula_Capped
353,102.csv,Variance,1.2955078125000006,Clayton
354,102.csv,Variance,1.2198242187500004,Frank
355,102.csv,Variance,1.2146484375000006,Gumbel
356,102.csv,Variance,1.1757812500000004,Plackett
357,102.csv,Variance,1.2206054687500003,Gauss Mix Indep
358,102.csv,Variance,1.2183593750000004,rotGumbel
359,102.csv,Variance,1.1917543051432418,NIG
360,103.csv,ERM k=10,1.2554687500000006,Gaussian
361,103.csv,ERM k=10,1.2510742187500008,t_Copula
362,103.csv,ERM k=10,1.2510742187500008,t_Copula_Capped
363,103.csv,ERM k=10,1.2139648437500008,Clayton
364,103.csv,ERM k=10,1.2880859375000009,Frank
365,103.csv,ERM k=10,1.435839843750001,Gumbel
366,103.csv,ERM k=10,1.2294921875000009,Plackett
367,103.csv,ERM k=10,1.2530273437500008,Gauss Mix Indep
368,103.csv,ERM k=10,1.1220703125,rotGumbel
369,103.csv,ERM k=10,1.2250021175800967,NIG
370,103.csv,ES q=0.01,1.2507812500000006,Gaussian
371,103.csv,ES q=0.01,1.2391601562500003,t_Copula
372,103.csv,ES q=0.01,1.2391601562500003,t_Copula_Capped
373,103.csv,ES q=0.01,0.9462890625,Clayton
374,103.csv,ES q=0.01,1.1716796875000004,Frank
375,103.csv,ES q=0.01,1.5730468750000015,Gumbel
376,103.csv,ES q=0.01,0.996484375,Plackett
377,103.csv,ES q=0.01,1.2454101562500006,Gauss Mix Indep
378,103.csv,ES q=0.01,0.92626953125,rotGumbel
379,103.csv,ES q=0.01,1.1145824432934033,NIG
