"date","Future","BTC"
"2020-09-25",10607,10686.44927
"2020-09-28",10960,10866.85997
"2020-09-29",10815,10764.58256
"2020-09-30",10770,10750.86582
"2020-10-01",10645,10606.02987
"2020-10-02",10550,10552.9431
"2020-10-05",10815,10745.77397
"2020-10-06",10630,10587.86524
"2020-10-07",10720,10661.94078
"2020-10-08",10955,10897.52053
"2020-10-09",11110,11070.41639
"2020-10-12",11630,11659.3675
"2020-10-13",11440,11438.75556
"2020-10-14",11410,11395.27572
"2020-10-15",11595,11482.01591
"2020-10-16",11360,11346.06406
"2020-10-19",11755,11735.1187
"2020-10-20",11970,11953.80924
"2020-10-21",12755,13202.52533
"2020-10-22",13155,13012.89544
"2020-10-23",12970,12937.50534
"2020-10-26",13045,13047.96852
"2020-10-27",13685,13731.03612
"2020-10-28",13175,13261.91893
"2020-10-29",13505,13401.81908
"2020-10-30",13479,13562.79874
"2020-11-02",13790,13585.49185
"2020-11-03",13845,13825.35447
"2020-11-04",14200,14145.17685
"2020-11-05",15260,15539.81106
"2020-11-06",15630,15600.11065
"2020-11-09",15450,15251.80019
"2020-11-10",15355,15372.49373
"2020-11-11",15805,15787.04859
"2020-11-12",16240,16227.00182
"2020-11-13",16270,16313.22607
"2020-11-16",16895,16714.42424
"2020-11-17",17730,17603.5685
"2020-11-18",17685,17806.51909
"2020-11-19",18095,17866.80693
"2020-11-20",18685,18623.51479
"2020-11-23",18410,18414.86031
"2020-11-24",19110,19123.14356
"2020-11-25",18915,18759.50949
"2020-11-27",16628,16964.76549
"2020-11-30",19730,19500.10273
"2020-12-01",19275,18898.95103
"2020-12-02",19295,19114.5537
"2020-12-03",19565,19469.37532
"2020-12-04",19100,18670.48698
"2020-12-07",19170,19117.68104
"2020-12-08",18825,18349.46001
"2020-12-09",18420,18556.99207
"2020-12-10",18440,18327.25574
"2020-12-11",18020,18128.51195
"2020-12-14",19270,19291.4741
"2020-12-15",19560,19463.5088
"2020-12-16",20930,21376.89425
"2020-12-17",22870,22963.05
"2020-12-18",22860,23025.74317
"2020-12-21",22880,23172.77802
"2020-12-22",23445,23717.94241
"2020-12-23",23510,23289.70581
"2020-12-24",23197,23708.81362
"2020-12-28",27110,26881.3544
"2020-12-29",27210,27037.91659
"2020-12-30",29155,28711.88273
"2020-12-31",29385,29100.76205
"2021-01-04",31550,31352.04944
"2021-01-05",34515,34222.63163
"2021-01-06",36565,36009.0837
"2021-01-07",39625,39686.85167
"2021-01-08",39520,40686.43391
"2021-01-11",33780,34391.80221
"2021-01-12",34500,33794.27833
"2021-01-13",36375,37205.72743
"2021-01-14",39605,38978.69501
"2021-01-15",35625,36594.32926
"2021-01-19",36595,36646.49299
"2021-01-20",35035,34964.91231
"2021-01-21",31920,30906.92317
"2021-01-22",33580,32849.18406
"2021-01-25",33440,32463.76314
"2021-01-26",31950,32745.97093
"2021-01-27",31475,30535.35879
"2021-01-28",32650,33499.92286
"2021-01-29",37242,34496.08208
"2021-02-01",34000,33546.14918
"2021-02-02",36170,35602.9714
"2021-02-03",37390,37291.85085
"2021-02-04",37915,37265.98321
"2021-02-05",38015,37786.68621
"2021-02-08",44755,44751.17826
"2021-02-09",47765,46865.07677
"2021-02-10",44915,45207.61307
"2021-02-11",47525,47734.15764
"2021-02-12",48040,47864.41744
"2021-02-16",48925,49131.46147
"2021-02-17",52785,52110.96899
"2021-02-18",52340,51844.49187
"2021-02-19",55530,55438.2209
"2021-02-22",53720,54092.84798
"2021-02-23",47660,48609.24237
"2021-02-24",49135,48825.86317
"2021-02-25",49120,48217.74181
"2021-02-26",47002,45497.55679
"2021-03-01",48870,49141.09064
"2021-03-02",47820,47807.42975
"2021-03-03",50900,50577.78989
"2021-03-04",48310,48247.94626
"2021-03-05",49555,49067.34072
"2021-03-08",52145,51606.78336
"2021-03-09",54720,54818.56595
"2021-03-10",56620,56912.14664
"2021-03-11",57955,57886.86228
"2021-03-12",57075,57168.62725
"2021-03-15",56900,56147.31317
"2021-03-16",55910,56259.14353
"2021-03-17",57980,58295.35428
"2021-03-18",57365,57635.43812
"2021-03-19",58975,58509.38489
"2021-03-22",55605,54617.3853
"2021-03-23",54985,54390.49356
"2021-03-24",54645,52505.52332
"2021-03-25",52195,51742.5422
"2021-03-26",53346,54387.07989
