,Date,Open,High,Low,Close,Open Interest,SMAVG (15),date,price,log return future,log return CRIX
324,2019-06-03,8730.0,8865.0,8385.0,8640.0,3531.0,1806.0,2019-06-03,21464.3517785094,0.04810311501839371,0.05031758562914982
325,2019-05-31,8320.0,8615.0,8145.0,8535.0,3557.0,1671.0,2019-05-31,20411.0397072212,-0.04695698308777098,-0.04244725365563657
326,2019-05-30,8720.0,9180.0,8420.0,8680.0,3315.0,1532.0,2019-05-30,21296.08323763,-0.010268202027199908,-0.008044086900972008
327,2019-05-29,8810.0,8820.0,8460.0,8755.0,2592.0,1405.0,2019-05-29,21468.0816394271,0.017172717373744387,-0.007406894261797113
328,2019-05-28,8660.0,9065.0,8600.0,8775.0,1996.0,1320.0,2019-05-28,21627.6837986176,0.09692811613322863,0.12138349978325585
329,2019-05-24,7860.0,8235.0,7840.0,8095.0,1316.0,1272.0,2019-05-24,19155.5147683492,0.02186582292356253,0.021298499964663938
330,2019-05-23,7690.0,7900.0,7510.0,7820.0,1174.0,1265.0,2019-05-23,18751.8450766664,-0.04014556293112545,-0.04148026680661007
331,2019-05-22,8005.0,8090.0,7720.0,7965.0,1195.0,1267.0,2019-05-22,19546.0343336326,-0.01179771522971508,0.0028418312732827883
332,2019-05-21,8100.0,8140.0,7845.0,8050.0,1190.0,1263.0,2019-05-21,19490.5666542174,0.0018535686493228347,-0.028128359085315368
333,2019-05-20,8085.0,8380.0,7630.0,7850.0,1211.0,1259.0,2019-05-20,20046.58763064,0.0455486702452609,0.025157984055976034
334,2019-05-17,7725.0,7995.0,6335.0,7195.0,1194.0,1252.0,2019-05-17,19548.5470157932,-0.06332419190516934,-0.025786128873644853
335,2019-05-16,8230.0,8435.0,7785.0,7895.0,1186.0,1246.0,2019-05-16,20059.1837464504,0.044727952259666644,0.046359030015907784
336,2019-05-15,7870.0,8300.0,7855.0,8230.0,1169.0,1244.0,2019-05-15,19150.4853716655,-0.027570668641088408,0.051374511689197565
337,2019-05-14,8090.0,8400.0,7625.0,7785.0,1179.0,1242.0,2019-05-14,18191.4835798735,0.1256164801416006,0.10046656906016566
338,2019-05-13,7135.0,8020.0,6860.0,7945.0,1279.0,1233.0,2019-05-13,16452.6569409294,0.14937350791080162,0.11013143948731804
339,2019-05-10,6145.0,6425.0,6115.0,6360.0,1518.0,1215.0,2019-05-10,14736.9145642074,0.04408198110746256,0.026940278089902715
340,2019-05-09,5880.0,6105.0,5835.0,6055.0,1462.0,1180.0,2019-05-09,14345.1981535074,0.0,0.007835228904832075
341,2019-05-08,5880.0,5900.0,5640.0,5895.0,1407.0,1149.0,2019-05-08,14233.2394261869,0.029337738242616682,0.018052119044388706
342,2019-05-07,5710.0,5975.0,5680.0,5840.0,1329.0,1116.0,2019-05-07,13978.6045581291,-0.013049336977721098,0.00289558015137302
343,2019-05-06,5785.0,5785.0,5570.0,5740.0,1267.0,1090.0,2019-05-06,13938.1869327034,0.070722975724734,0.043776900151724016
344,2019-05-03,5390.0,5800.0,5370.0,5675.0,1217.0,1070.0,2019-05-03,13341.1792283171,0.01401237312699455,0.014545006426376498
345,2019-05-02,5315.0,5410.0,5305.0,5385.0,1201.0,1052.0,2019-05-02,13148.5360848277,0.012304935190378874,0.005324367863327309
346,2019-05-01,5250.0,5345.0,5250.0,5290.0,1133.0,1034.0,2019-05-01,13078.7144847367,0.022148233223010773,0.029567670560739296
347,2019-04-30,5135.0,5280.0,5095.0,5230.0,1133.0,1020.0,2019-04-30,12697.6684456663,0.004880439164908569,-0.016902309852715198
348,2019-04-29,5110.0,5175.0,5070.0,5140.0,1112.0,1006.0,2019-04-29,12914.1124207778,-0.05519954935461563,0.009711350951882969
349,2019-04-26,5400.0,5400.0,4955.0,5080.0,1103.0,993.0,2019-04-26,12789.3059434556,-0.011049836186584935,-0.04819394135981501
350,2019-04-25,5460.0,5505.0,5390.0,5490.0,1155.0,980.0,2019-04-25,13420.7670872761,-0.020843527589368773,-0.028296620857682787
351,2019-04-24,5575.0,5610.0,5385.0,5435.0,1137.0,970.0,2019-04-24,13805.9534806514,0.015364061824743246,0.013534682240239062
352,2019-04-23,5490.0,5650.0,5490.0,5600.0,1040.0,960.0,2019-04-23,13620.3531413736,0.03333642026759171,0.009580729880368009
353,2019-04-22,5310.0,5455.0,5275.0,5395.0,1008.0,962.0,2019-04-22,13490.4833342203,0.012316593405586966,0.006840349047934937
354,2019-04-18,5245.0,5325.0,5235.0,5305.0,1003.0,909.0,2019-04-18,13398.5186133726,0.000953743515309635,0.0019188935800906126
355,2019-04-17,5240.0,5240.0,5190.0,5240.0,989.0,872.0,2019-04-17,13372.8329339469,0.040901514221302934,0.027833891787952963
356,2019-04-16,5030.0,5225.0,5025.0,5200.0,917.0,853.0,2019-04-16,13005.7473581696,-0.01675741529194195,-0.021269366859982507
357,2019-04-15,5115.0,5170.0,4990.0,5010.0,934.0,879.0,2019-04-15,13285.3341469936,0.01775194545845032,0.019429757883230037
358,2019-04-12,5025.0,5115.0,4905.0,5065.0,962.0,933.0,2019-04-12,13029.6948680326,-0.05422431812080701,-0.06249790507762608
359,2019-04-11,5305.0,5305.0,4990.0,5075.0,959.0,1004.0,2019-04-11,13870.0089317887,0.018069916300670858,0.02340431148393973
360,2019-04-10,5210.0,5475.0,5195.0,5415.0,922.0,1086.0,2019-04-10,13549.16019,-0.017126964792800597,-0.020816000838802494
361,2019-04-09,5300.0,5300.0,5175.0,5220.0,919.0,1177.0,2019-04-09,13834.15546,0.01808711849114397,0.01097020656364727
362,2019-04-08,5205.0,5365.0,5150.0,5215.0,926.0,1271.0,2019-04-08,13683.22132,0.05428071401233338,0.06284590090109295
363,2019-04-05,4930.0,5060.0,4915.0,5015.0,918.0,1365.0,2019-04-05,12849.75134,-0.060982510278352074,-0.018294542587617767
364,2019-04-04,5240.0,5255.0,4815.0,4840.0,911.0,1462.0,2019-04-04,13086.99518,0.09188095182958626,0.01507905393732536
365,2019-04-03,4780.0,5320.0,4780.0,5150.0,1008.0,1558.0,2019-04-03,12891.13607,0.14012811819595314,0.15934681702191145
366,2019-04-02,4155.0,4980.0,4155.0,4775.0,988.0,1657.0,2019-04-02,10992.27916,0.014545711002378716,0.010140810094977451
367,2019-04-01,4095.0,4135.0,4055.0,4125.0,1069.0,1755.0,2019-04-01,10881.37184,0.022223136784710256,0.02145133744574913
