,Date,PX_LAST,contract_name
285,2020-04-13 20:00:00+00:00,6820,BTCK20 Curncy
286,2020-04-09 20:00:00+00:00,7350,BTCK20 Curncy
287,2020-04-08 20:00:00+00:00,7390,BTCK20 Curncy
288,2020-04-07 20:00:00+00:00,7405,BTCK20 Curncy
289,2020-04-06 20:00:00+00:00,7390,BTCK20 Curncy
290,2020-04-03 20:00:00+00:00,6845,BTCK20 Curncy
291,2020-04-02 20:00:00+00:00,6900,BTCK20 Curncy
292,2020-04-01 20:00:00+00:00,6225,BTCK20 Curncy
293,2020-03-31 20:00:00+00:00,6495,BTCK20 Curncy
294,2020-03-30 20:00:00+00:00,6405,BTCK20 Curncy
295,2020-03-27 20:00:00+00:00,6710,BTCK20 Curncy
296,2020-03-26 20:00:00+00:00,6695,BTCJ20 Curncy
297,2020-03-25 20:00:00+00:00,6660,BTCJ20 Curncy
298,2020-03-24 20:00:00+00:00,6745,BTCJ20 Curncy
299,2020-03-23 20:00:00+00:00,6310,BTCJ20 Curncy
300,2020-03-20 20:00:00+00:00,6230,BTCJ20 Curncy
301,2020-03-19 20:00:00+00:00,6270,BTCJ20 Curncy
302,2020-03-18 20:00:00+00:00,5345,BTCJ20 Curncy
303,2020-03-17 20:00:00+00:00,5410,BTCJ20 Curncy
304,2020-03-16 20:00:00+00:00,4945,BTCJ20 Curncy
305,2020-03-13 20:00:00+00:00,5375,BTCJ20 Curncy
306,2020-03-12 20:00:00+00:00,6035,BTCJ20 Curncy
307,2020-03-11 20:00:00+00:00,7905,BTCJ20 Curncy
308,2020-03-10 20:00:00+00:00,8045,BTCJ20 Curncy
309,2020-03-09 20:00:00+00:00,7900,BTCJ20 Curncy
310,2020-03-06 21:00:00+00:00,9265,BTCJ20 Curncy
311,2020-03-05 21:00:00+00:00,9270,BTCJ20 Curncy
312,2020-03-04 21:00:00+00:00,8845,BTCJ20 Curncy
313,2020-03-03 21:00:00+00:00,8865,BTCJ20 Curncy
314,2020-03-02 21:00:00+00:00,9045,BTCJ20 Curncy
315,2020-02-28 21:00:00+00:00,8780,BTCJ20 Curncy
316,2020-02-27 21:00:00+00:00,8945,BTCH20 Curncy
317,2020-02-26 21:00:00+00:00,8885,BTCH20 Curncy
318,2020-02-25 21:00:00+00:00,9435,BTCH20 Curncy
319,2020-02-24 21:00:00+00:00,9745,BTCH20 Curncy
320,2020-02-21 21:00:00+00:00,9885,BTCH20 Curncy
321,2020-02-20 21:00:00+00:00,9760,BTCH20 Curncy
322,2020-02-19 21:00:00+00:00,10395,BTCH20 Curncy
323,2020-02-18 21:00:00+00:00,10415,BTCH20 Curncy
324,2020-02-14 21:00:00+00:00,10675,BTCH20 Curncy
325,2020-02-13 21:00:00+00:00,10490,BTCH20 Curncy
326,2020-02-12 21:00:00+00:00,10730,BTCH20 Curncy
327,2020-02-11 21:00:00+00:00,10585,BTCH20 Curncy
328,2020-02-10 21:00:00+00:00,10100,BTCH20 Curncy
329,2020-02-07 21:00:00+00:00,9980,BTCH20 Curncy
330,2020-02-06 21:00:00+00:00,10025,BTCH20 Curncy
331,2020-02-05 21:00:00+00:00,9940,BTCH20 Curncy
332,2020-02-04 21:00:00+00:00,9360,BTCH20 Curncy
333,2020-02-03 21:00:00+00:00,9510,BTCH20 Curncy
334,2020-01-31 21:00:00+00:00,9535,BTCH20 Curncy
335,2020-01-30 21:00:00+00:00,9730,BTCG20 Curncy
336,2020-01-29 21:00:00+00:00,9525,BTCG20 Curncy
337,2020-01-28 21:00:00+00:00,9175,BTCG20 Curncy
338,2020-01-27 21:00:00+00:00,9075,BTCG20 Curncy
339,2020-01-24 21:00:00+00:00,8545,BTCG20 Curncy
340,2020-01-23 21:00:00+00:00,8430,BTCG20 Curncy
341,2020-01-22 21:00:00+00:00,8740,BTCG20 Curncy
342,2020-01-21 21:00:00+00:00,8795,BTCG20 Curncy
343,2020-01-17 21:00:00+00:00,8995,BTCG20 Curncy
344,2020-01-16 21:00:00+00:00,8850,BTCG20 Curncy
345,2020-01-15 21:00:00+00:00,8950,BTCG20 Curncy
346,2020-01-14 21:00:00+00:00,8830,BTCG20 Curncy
347,2020-01-13 21:00:00+00:00,8260,BTCG20 Curncy
348,2020-01-10 21:00:00+00:00,8180,BTCG20 Curncy
349,2020-01-09 21:00:00+00:00,7935,BTCG20 Curncy
350,2020-01-08 21:00:00+00:00,8160,BTCG20 Curncy
351,2020-01-07 21:00:00+00:00,8315,BTCG20 Curncy
352,2020-01-06 21:00:00+00:00,7655,BTCG20 Curncy
353,2020-01-03 21:00:00+00:00,7415,BTCG20 Curncy
354,2020-01-02 21:00:00+00:00,6985,BTCG20 Curncy
355,2019-12-31 21:00:00+00:00,7240,BTCG20 Curncy
356,2019-12-30 21:00:00+00:00,7330,BTCG20 Curncy
357,2019-12-27 21:00:00+00:00,7310,BTCG20 Curncy
358,2019-12-26 21:00:00+00:00,7300,BTCF20 Curncy
359,2019-12-24 21:00:00+00:00,7275,BTCF20 Curncy
360,2019-12-23 21:00:00+00:00,7455,BTCF20 Curncy
361,2019-12-20 21:00:00+00:00,7250,BTCF20 Curncy
362,2019-12-19 21:00:00+00:00,7190,BTCF20 Curncy
363,2019-12-18 21:00:00+00:00,7160,BTCF20 Curncy
364,2019-12-17 21:00:00+00:00,6605,BTCF20 Curncy
365,2019-12-16 21:00:00+00:00,6885,BTCF20 Curncy
366,2019-12-13 21:00:00+00:00,7295,BTCF20 Curncy
367,2019-12-12 21:00:00+00:00,7305,BTCF20 Curncy
368,2019-12-11 21:00:00+00:00,7220,BTCF20 Curncy
369,2019-12-10 21:00:00+00:00,7275,BTCF20 Curncy
370,2019-12-09 21:00:00+00:00,7380,BTCF20 Curncy
371,2019-12-06 21:00:00+00:00,7520,BTCF20 Curncy
372,2019-12-05 21:00:00+00:00,7470,BTCF20 Curncy
373,2019-12-04 21:00:00+00:00,7265,BTCF20 Curncy
374,2019-12-03 21:00:00+00:00,7405,BTCF20 Curncy
375,2019-12-02 21:00:00+00:00,7400,BTCF20 Curncy
376,2019-11-29 21:00:00+00:00,7855,BTCF20 Curncy
377,2019-11-27 21:00:00+00:00,7625,BTCZ19 Curncy
378,2019-11-26 21:00:00+00:00,7125,BTCZ19 Curncy
379,2019-11-25 21:00:00+00:00,7190,BTCZ19 Curncy
380,2019-11-22 21:00:00+00:00,7355,BTCZ19 Curncy
381,2019-11-21 21:00:00+00:00,7615,BTCZ19 Curncy
382,2019-11-20 21:00:00+00:00,8150,BTCZ19 Curncy
383,2019-11-19 21:00:00+00:00,8150,BTCZ19 Curncy
384,2019-11-18 21:00:00+00:00,8260,BTCZ19 Curncy
385,2019-11-15 21:00:00+00:00,8545,BTCZ19 Curncy
386,2019-11-14 21:00:00+00:00,8740,BTCZ19 Curncy
387,2019-11-13 21:00:00+00:00,8850,BTCZ19 Curncy
388,2019-11-12 21:00:00+00:00,8890,BTCZ19 Curncy
389,2019-11-11 21:00:00+00:00,8805,BTCZ19 Curncy
390,2019-11-08 21:00:00+00:00,8910,BTCZ19 Curncy
391,2019-11-07 21:00:00+00:00,9305,BTCZ19 Curncy
392,2019-11-06 21:00:00+00:00,9445,BTCZ19 Curncy
393,2019-11-05 21:00:00+00:00,9515,BTCZ19 Curncy
394,2019-11-04 21:00:00+00:00,9650,BTCZ19 Curncy
395,2019-11-01 20:00:00+00:00,9325,BTCZ19 Curncy
396,2019-10-31 20:00:00+00:00,9305,BTCX19 Curncy
397,2019-10-30 20:00:00+00:00,9270,BTCX19 Curncy
398,2019-10-29 20:00:00+00:00,9315,BTCX19 Curncy
399,2019-10-28 20:00:00+00:00,9530,BTCX19 Curncy
400,2019-10-25 20:00:00+00:00,8715,BTCX19 Curncy
401,2019-10-24 20:00:00+00:00,7500,BTCX19 Curncy
402,2019-10-23 20:00:00+00:00,7505,BTCX19 Curncy
403,2019-10-22 20:00:00+00:00,8230,BTCX19 Curncy
404,2019-10-21 20:00:00+00:00,8250,BTCX19 Curncy
405,2019-10-18 20:00:00+00:00,7990,BTCX19 Curncy
406,2019-10-17 20:00:00+00:00,8105,BTCX19 Curncy
407,2019-10-16 20:00:00+00:00,7990,BTCX19 Curncy
408,2019-10-15 20:00:00+00:00,8230,BTCX19 Curncy
409,2019-10-14 20:00:00+00:00,8415,BTCX19 Curncy
410,2019-10-11 20:00:00+00:00,8415,BTCX19 Curncy
411,2019-10-10 20:00:00+00:00,8650,BTCX19 Curncy
412,2019-10-09 20:00:00+00:00,8685,BTCX19 Curncy
413,2019-10-08 20:00:00+00:00,8225,BTCX19 Curncy
414,2019-10-07 20:00:00+00:00,8290,BTCX19 Curncy
415,2019-10-04 20:00:00+00:00,8255,BTCX19 Curncy
416,2019-10-03 20:00:00+00:00,8205,BTCX19 Curncy
417,2019-10-02 20:00:00+00:00,8320,BTCX19 Curncy
418,2019-10-01 20:00:00+00:00,8370,BTCX19 Curncy
