Date,Coin,Weight in Index
2017-05-01,litecoin,4.97713%
2017-05-01,dash,4.45283%
2017-05-01,ethereum-classic,3.85491%
2017-05-01,nem,3.63994%
2017-05-01,monero,3.23527%
2017-05-01,augur,2.31725%
2017-05-01,golem-network-tokens,2.00599%
2017-05-01,maidsafecoin,1.92784%
2017-05-01,zcash,1.798%
2017-05-01,pivx,1.64945%
2017-05-01,decred,1.56498%
2017-05-01,dogecoin,1.5168%
2017-05-01,stratis,1.49391%
2017-05-01,factom,1.46529%
2017-05-01,steem,1.4186%
2017-05-01,tether,1.38539%
2017-05-01,waves,1.37378%
2017-05-01,bitconnect,1.3684%
2017-05-01,gamecredits,1.33877%
2017-05-01,lisk,1.31416%
2017-05-01,digixdao,1.30409%
2017-05-01,iconomi,1.21095%
2017-05-01,ardor,1.20394%
2017-05-01,siacoin,1.15578%
2017-05-01,bitshares,1.10934%
2017-05-01,bytecoin-bcn,1.06976%
2017-05-01,komodo,0.994992%
2017-04-01,bitcoin,30.136%
2017-04-01,ethereum,15.4897%
2017-04-01,dash,5.74429%
2017-04-01,ripple,4.9944%
2017-04-01,monero,3.95589%
2017-04-01,litecoin,3.71387%
2017-04-01,ethereum-classic,3.44446%
2017-04-01,nem,2.61368%
2017-04-01,augur,2.38685%
2017-04-01,maidsafecoin,1.95267%
2017-04-01,zcash,1.82476%
2017-04-01,golem-network-tokens,1.6752%
2017-04-01,tether,1.63292%
2017-04-01,decred,1.60817%
2017-04-01,iconomi,1.56506%
2017-04-01,steem,1.44079%
2017-04-01,digixdao,1.38311%
2017-04-01,pivx,1.37956%
2017-04-01,waves,1.37427%
2017-04-01,factom,1.33927%
2017-04-01,lisk,1.29034%
2017-04-01,dogecoin,1.28994%
2017-04-01,bytecoin-bcn,1.08695%
2017-04-01,ardor,1.06123%
2017-04-01,gamecredits,1.01179%
2017-04-01,bitconnect,0.978529%
2017-04-01,stratis,0.961645%
2017-04-01,bitshares,0.899415%
2017-04-01,siacoin,0.893852%
2017-04-01,komodo,0.871392%
2017-03-01,bitcoin,39.9467%
2017-03-01,ethereum,10.4172%
2017-03-01,ripple,4.27149%
2017-03-01,dash,4.04845%
2017-03-01,litecoin,4.04359%
2017-03-01,monero,3.8451%
2017-03-01,ethereum-classic,3.07546%
2017-03-01,maidsafecoin,2.64382%
2017-03-01,nem,2.26457%
2017-03-01,augur,2.12359%
2017-03-01,iconomi,1.60738%
2017-03-01,steem,1.5156%
2017-03-01,factom,1.49628%
2017-03-01,tether,1.4655%
2017-03-01,zcash,1.43869%
2017-03-01,dogecoin,1.38273%
2017-03-01,waves,1.37175%
2017-03-01,golem-network-tokens,1.29775%
2017-03-01,digixdao,1.27238%
2017-03-01,ardor,1.1644%
2017-03-01,stellar,1.0701%
2017-03-01,gamecredits,1.06584%
2017-03-01,lisk,1.06456%
2017-03-01,bytecoin-bcn,0.941967%
2017-03-01,bitshares,0.920861%
2017-03-01,nxt,0.916735%
2017-03-01,neo,0.857786%
2017-03-01,agoras-tokens,0.837225%
2017-03-01,stratis,0.81769%
2017-03-01,siacoin,0.814807%
2017-02-01,bitcoin,38.3994%
2017-02-01,ethereum,9.60875%
2017-02-01,ripple,4.84823%
2017-02-01,litecoin,4.38108%
2017-02-01,monero,4.13232%
2017-02-01,ethereum-classic,3.40185%
2017-02-01,dash,3.27085%
2017-02-01,maidsafecoin,2.42026%
2017-02-01,augur,2.16123%
2017-02-01,nem,2.07143%
2017-02-01,steem,1.91478%
2017-02-01,iconomi,1.83179%
2017-02-01,factom,1.69367%
2017-02-01,waves,1.52397%
2017-02-01,golem-network-tokens,1.4942%
2017-02-01,dogecoin,1.4887%
2017-02-01,zcash,1.45414%
2017-02-01,digixdao,1.38382%
2017-02-01,ardor,1.3416%
2017-02-01,tether,1.29641%
2017-02-01,stellar,1.25558%
2017-02-01,lisk,1.25492%
2017-02-01,gamecredits,1.10875%
2017-02-01,bitshares,1.00345%
2017-02-01,bytecoin-bcn,0.992301%
2017-02-01,stratis,0.93948%
2017-02-01,siacoin,0.907242%
2017-02-01,agoras-tokens,0.827684%
2017-02-01,neo,0.824319%
2017-02-01,nxt,0.767805%
2017-01-01,bitcoin,40.6834%
2017-01-01,ethereum,8.65444%
2017-01-01,ripple,5.0499%
2017-01-01,litecoin,4.85427%
2017-01-01,monero,4.26721%
2017-01-01,ethereum-classic,3.49815%
2017-01-01,dash,2.83942%
2017-01-01,maidsafecoin,2.25053%
2017-01-01,augur,2.02165%
2017-01-01,steem,2.0053%
2017-01-01,nem,1.90265%
2017-01-01,iconomi,1.66944%
2017-01-01,dogecoin,1.64203%
2017-01-01,factom,1.61128%
2017-01-01,waves,1.54186%
2017-01-01,stellar,1.40061%
2017-01-01,digixdao,1.39067%
2017-01-01,zcash,1.28613%
2017-01-01,lisk,1.25811%
2017-01-01,gamecredits,1.14027%
2017-01-01,bitshares,1.07901%
2017-01-01,ardor,1.06866%
2017-01-01,bytecoin-bcn,0.999961%
2017-01-01,tether,0.943359%
2017-01-01,neo,0.900153%
2017-01-01,golem-network-tokens,0.898383%
2017-01-01,stratis,0.860223%
2017-01-01,nxt,0.813123%
2017-01-01,agoras-tokens,0.740857%
2017-01-01,siacoin,0.728936%
2016-12-01,bitcoin,38.8769%
2016-12-01,ethereum,9.9509%
2016-12-01,ripple,5.68507%
2016-12-01,litecoin,4.92812%
2016-12-01,monero,3.67374%
2016-12-01,ethereum-classic,2.94028%
2016-12-01,dash,2.80588%
2016-12-01,digibyte,2.37221%
2016-12-01,nem,2.07642%
2016-12-01,steem,2.05524%
2016-12-01,maidsafecoin,2.033%
2016-12-01,waves,1.84905%
2016-12-01,dogecoin,1.72565%
2016-12-01,factom,1.57512%
2016-12-01,digixdao,1.51884%
2016-12-01,lisk,1.46614%
2016-12-01,nav-coin,1.38176%
2016-12-01,stellar,1.21371%
2016-12-01,gamecredits,1.16999%
2016-12-01,bitshares,1.13471%
2016-12-01,decred,1.11071%
2016-12-01,bitcoindark,1.07726%
2016-12-01,bytecoin-bcn,1.04684%
2016-12-01,supernet-unity,1.01814%
2016-12-01,syscoin,0.951612%
2016-12-01,tether,0.942391%
2016-12-01,nxt,0.898313%
2016-12-01,stratis,0.882397%
2016-12-01,agoras-tokens,0.831713%
2016-12-01,siacoin,0.80792%
2016-11-01,bitcoin,37.3332%
2016-11-01,ethereum,11.0749%
2016-11-01,ripple,6.14042%
2016-11-01,litecoin,4.94592%
2016-11-01,ethereum-classic,3.23052%
2016-11-01,monero,3.11059%
2016-11-01,dash,2.87565%
2016-11-01,digibyte,2.49864%
2016-11-01,maidsafecoin,2.14014%
2016-11-01,nem,2.06824%
2016-11-01,waves,2.03996%
2016-11-01,steem,1.95727%
2016-11-01,dogecoin,1.73059%
2016-11-01,digixdao,1.6898%
2016-11-01,factom,1.62039%
2016-11-01,lisk,1.48626%
2016-11-01,stellar,1.38084%
2016-11-01,supernet-unity,1.20579%
2016-11-01,bitshares,1.18394%
2016-11-01,nav-coin,1.1624%
2016-11-01,bytecoin-bcn,1.14095%
2016-11-01,gamecredits,1.10568%
2016-11-01,decred,1.09683%
2016-11-01,siacoin,1.00148%
2016-11-01,tether,0.941107%
2016-11-01,nxt,0.938165%
2016-11-01,stratis,0.780018%
2016-11-01,syscoin,0.720456%
2016-11-01,agoras-tokens,0.706545%
2016-11-01,bitcoindark,0.693327%
2016-10-01,bitcoin,35.5076%
2016-10-01,ethereum,12.0384%
2016-10-01,ripple,6.17812%
2016-10-01,litecoin,4.89944%
2016-10-01,monero,3.9936%
2016-10-01,ethereum-classic,3.71003%
2016-10-01,steem,3.26277%
2016-10-01,dash,3.22843%
2016-10-01,nem,2.35423%
2016-10-01,maidsafecoin,2.26379%
2016-10-01,digixdao,1.95979%
2016-10-01,factom,1.85403%
2016-10-01,dogecoin,1.78807%
2016-10-01,lisk,1.77863%
2016-10-01,waves,1.54275%
2016-10-01,stellar,1.44854%
2016-10-01,nxt,1.36616%
2016-10-01,bitshares,1.2984%
2016-10-01,bytecoin-bcn,1.19441%
2016-10-01,siacoin,1.09684%
2016-10-01,tether,0.954142%
2016-10-01,gamecredits,0.95095%
2016-10-01,agoras-tokens,0.860804%
2016-10-01,syscoin,0.788531%
2016-10-01,bitcoindark,0.654872%
2016-10-01,stratis,0.650394%
2016-10-01,nav-coin,0.63162%
2016-10-01,decred,0.62845%
2016-10-01,digibyte,0.569527%
2016-10-01,supernet-unity,0.546776%
2016-09-01,bitcoin,35.3935%
2016-09-01,ethereum,11.3388%
2016-09-01,ripple,5.42703%
2016-09-01,litecoin,4.94835%
2016-09-01,steem,4.17192%
2016-09-01,reddcoin,3.93624%
2016-09-01,monero,3.45414%
2016-09-01,dash,3.36254%
2016-09-01,nem,2.69198%
2016-09-01,maidsafecoin,2.59995%
2016-09-01,factom,1.91983%
2016-09-01,lisk,1.89647%
2016-09-01,dogecoin,1.83163%
2016-09-01,nxt,1.80171%
2016-09-01,digixdao,1.69673%
2016-09-01,waves,1.49947%
2016-09-01,bitshares,1.45115%
2016-09-01,stellar,1.20567%
2016-09-01,bytecoin-bcn,1.14796%
2016-09-01,siacoin,1.05255%
2016-09-01,tether,0.976553%
2016-09-01,gamecredits,0.926564%
2016-09-01,agoras-tokens,0.916033%
2016-09-01,syscoin,0.809126%
2016-09-01,decred,0.71419%
2016-09-01,bitcoindark,0.658316%
2016-09-01,supernet-unity,0.616456%
2016-09-01,digibyte,0.551937%
2016-09-01,vertcoin,0.535202%
2016-09-01,monacoin,0.468033%
2016-08-01,bitcoin,36.6114%
2016-08-01,ethereum,11.6335%
2016-08-01,steem,5.84695%
2016-08-01,ripple,5.32474%
2016-08-01,litecoin,4.98084%
2016-08-01,reddcoin,4.391%
2016-08-01,nem,2.82367%
2016-08-01,dash,2.81968%
2016-08-01,maidsafecoin,2.13586%
2016-08-01,lisk,1.92896%
2016-08-01,nxt,1.86856%
2016-08-01,dogecoin,1.81298%
2016-08-01,monero,1.74924%
2016-08-01,digixdao,1.62526%
2016-08-01,waves,1.55857%
2016-08-01,factom,1.36583%
2016-08-01,bitshares,1.28386%
2016-08-01,stellar,1.20499%
2016-08-01,siacoin,1.19714%
2016-08-01,bytecoin-bcn,1.12361%
2016-08-01,gamecredits,0.976067%
2016-08-01,tether,0.952481%
2016-08-01,agoras-tokens,0.842958%
2016-08-01,decred,0.713887%
2016-08-01,syscoin,0.677393%
2016-08-01,digibyte,0.581539%
2016-08-01,supernet-unity,0.514148%
2016-08-01,bitcoindark,0.504095%
2016-08-01,vertcoin,0.481384%
2016-08-01,monacoin,0.469326%
2016-07-01,bitcoin,40.3308%
2016-07-01,ethereum,13.0042%
2016-07-01,ripple,6.04269%
2016-07-01,litecoin,5.58077%
2016-07-01,nem,3.63563%
2016-07-01,dash,2.71554%
2016-07-01,maidsafecoin,2.31821%
2016-07-01,lisk,2.26331%
2016-07-01,dogecoin,2.20748%
2016-07-01,digixdao,1.8611%
2016-07-01,nxt,1.73249%
2016-07-01,monero,1.72846%
2016-07-01,steem,1.59664%
2016-07-01,waves,1.48071%
2016-07-01,siacoin,1.46473%
2016-07-01,stellar,1.33048%
2016-07-01,bitshares,1.32935%
2016-07-01,factom,1.30985%
2016-07-01,bytecoin-bcn,1.0473%
2016-07-01,tether,0.963302%
2016-07-01,agoras-tokens,0.799687%
2016-07-01,decred,0.767674%
2016-07-01,gamecredits,0.722317%
2016-07-01,syscoin,0.705575%
2016-07-01,digibyte,0.6117%
2016-07-01,bitcoindark,0.59995%
2016-07-01,monacoin,0.538336%
2016-07-01,supernet-unity,0.519974%
2016-07-01,reddcoin,0.421319%
2016-07-01,vertcoin,0.370355%
2016-06-01,bitcoin,40.4377%
2016-06-01,ethereum,14.702%
2016-06-01,litecoin,6.54236%
2016-06-01,ripple,6.48996%
2016-06-01,dash,3.28137%
2016-06-01,blocknet,2.5682%
2016-06-01,maidsafecoin,2.40631%
2016-06-01,dogecoin,2.25455%
2016-06-01,verge,1.98903%
2016-06-01,bitbay,1.8728%
2016-06-01,nem,1.77249%
2016-06-01,monero,1.50533%
2016-06-01,bitshares,1.35652%
2016-06-01,stellar,1.32878%
2016-06-01,factom,1.27576%
2016-06-01,bytecoin-bcn,1.1678%
2016-06-01,nxt,1.15758%
2016-06-01,agoras-tokens,0.967227%
2016-06-01,siacoin,0.91831%
2016-06-01,decred,0.73502%
2016-06-01,syscoin,0.708166%
2016-06-01,tether,0.63974%
2016-06-01,digibyte,0.638621%
2016-06-01,gamecredits,0.566298%
2016-06-01,monacoin,0.536581%
2016-06-01,bitcoindark,0.511995%
2016-06-01,supernet-unity,0.474331%
2016-06-01,reddcoin,0.468908%
2016-06-01,vertcoin,0.402496%
2016-06-01,nav-coin,0.323841%
2016-05-01,bitcoin,42.4438%
2016-05-01,ethereum,12.77%
2016-05-01,ripple,7.88423%
2016-05-01,litecoin,6.59068%
2016-05-01,dash,3.27427%
2016-05-01,maidsafecoin,2.64352%
2016-05-01,dogecoin,2.4672%
2016-05-01,nem,1.91854%
2016-05-01,monero,1.68889%
2016-05-01,bitshares,1.63929%
2016-05-01,factom,1.6307%
2016-05-01,stellar,1.6283%
2016-05-01,nxt,1.34748%
2016-05-01,bytecoin-bcn,1.27222%
2016-05-01,nav-coin,1.23233%
2016-05-01,agoras-tokens,1.13627%
2016-05-01,syscoin,1.00631%
2016-05-01,decred,0.768589%
2016-05-01,gamecredits,0.745197%
2016-05-01,monacoin,0.718995%
2016-05-01,digibyte,0.717537%
2016-05-01,tether,0.663061%
2016-05-01,bitcoindark,0.605529%
2016-05-01,siacoin,0.553243%
2016-05-01,reddcoin,0.550812%
2016-05-01,vertcoin,0.543197%
2016-05-01,supernet-unity,0.531447%
2016-05-01,verge,0.401977%
2016-05-01,bitbay,0.341668%
2016-05-01,blocknet,0.284711%
2016-04-01,bitcoin,39.7911%
2016-04-01,ethereum,14.8813%
2016-04-01,ripple,8.09297%
2016-04-01,litecoin,6.00427%
2016-04-01,dash,3.26499%
2016-04-01,maidsafecoin,3.12748%
2016-04-01,dogecoin,2.41069%
2016-04-01,monero,2.03579%
2016-04-01,bitshares,1.95044%
2016-04-01,factom,1.94489%
2016-04-01,nem,1.78767%
2016-04-01,stellar,1.67095%
2016-04-01,nxt,1.41496%
2016-04-01,bytecoin-bcn,1.3873%
2016-04-01,agoras-tokens,1.19854%
2016-04-01,syscoin,0.918284%
2016-04-01,digibyte,0.918062%
2016-04-01,decred,0.79784%
2016-04-01,gamecredits,0.725965%
2016-04-01,monacoin,0.706941%
2016-04-01,bitcoindark,0.673945%
2016-04-01,siacoin,0.610831%
2016-04-01,tether,0.59818%
2016-04-01,vertcoin,0.583827%
2016-04-01,verge,0.565991%
2016-04-01,supernet-unity,0.546588%
2016-04-01,reddcoin,0.509759%
2016-04-01,blocknet,0.341453%
2016-04-01,bitbay,0.300651%
2016-04-01,nav-coin,0.238336%
2016-03-01,bitcoin,44.0448%
2016-03-01,ethereum,11.6542%
2016-03-01,ripple,8.98172%
2016-03-01,litecoin,6.70728%
2016-03-01,maidsafecoin,3.15906%
2016-03-01,dogecoin,2.84308%
2016-03-01,dash,2.69684%
2016-03-01,bitshares,1.75482%
2016-03-01,stellar,1.68832%
2016-03-01,monero,1.64798%
2016-03-01,factom,1.62642%
2016-03-01,nxt,1.51241%
2016-03-01,groestlcoin,1.43747%
2016-03-01,bytecoin-bcn,1.34744%
2016-03-01,nem,1.29968%
2016-03-01,nexus,0.779798%
2016-03-01,monacoin,0.728638%
2016-03-01,tether,0.655105%
2016-03-01,syscoin,0.630824%
2016-03-01,digibyte,0.612311%
2016-03-01,gamecredits,0.580284%
2016-03-01,bitcoindark,0.550632%
2016-03-01,vericoin,0.547459%
2016-03-01,siacoin,0.504158%
2016-03-01,reddcoin,0.46166%
2016-03-01,supernet-unity,0.460444%
2016-03-01,verge,0.386597%
2016-03-01,blocknet,0.258744%
2016-03-01,bitbay,0.240734%
2016-03-01,nav-coin,0.201103%
2016-02-01,bitcoin,47.9715%
2016-02-01,ripple,9.06985%
2016-02-01,ethereum,8.29125%
2016-02-01,litecoin,7.41548%
2016-02-01,dogecoin,3.38968%
2016-02-01,dash,3.23681%
2016-02-01,maidsafecoin,1.89162%
2016-02-01,factom,1.88881%
2016-02-01,stellar,1.87424%
2016-02-01,bitshares,1.84822%
2016-02-01,nxt,1.83249%
2016-02-01,bytecoin-bcn,1.58891%
2016-02-01,monero,1.51982%
2016-02-01,nem,1.24908%
2016-02-01,monacoin,0.817413%
2016-02-01,tether,0.75822%
2016-02-01,bitcoindark,0.650518%
2016-02-01,digibyte,0.620914%
2016-02-01,vericoin,0.609381%
2016-02-01,supernet-unity,0.592133%
2016-02-01,reddcoin,0.49673%
2016-02-01,gamecredits,0.406697%
2016-02-01,siacoin,0.313728%
2016-02-01,bitbay,0.29586%
2016-02-01,blocknet,0.290935%
2016-02-01,syscoin,0.287615%
2016-02-01,nav-coin,0.237342%
2016-02-01,verge,0.230667%
2016-02-01,groestlcoin,0.179366%
2016-02-01,nexus,0.144765%
2016-01-01,bitcoin,52.8216%
2016-01-01,ripple,9.48633%
2016-01-01,litecoin,8.1281%
2016-01-01,ethereum,5.38585%
2016-01-01,dash,2.81835%
2016-01-01,dogecoin,2.55234%
2016-01-01,bitshares,1.9439%
2016-01-01,stellar,1.91277%
2016-01-01,nxt,1.684%
2016-01-01,maidsafecoin,1.66717%
2016-01-01,bytecoin-bcn,1.53808%
2016-01-01,monero,1.44663%
2016-01-01,factom,1.26242%
2016-01-01,monacoin,0.837639%
2016-01-01,nem,0.789494%
2016-01-01,bitcoindark,0.746923%
2016-01-01,tether,0.639663%
2016-01-01,digibyte,0.574023%
2016-01-01,supernet-unity,0.530372%
2016-01-01,gamecredits,0.501998%
2016-01-01,reddcoin,0.456666%
2016-01-01,vertcoin,0.444663%
2016-01-01,syscoin,0.28835%
2016-01-01,bitbay,0.258894%
2016-01-01,siacoin,0.250942%
2016-01-01,blocknet,0.243461%
2016-01-01,verge,0.242791%
2016-01-01,nav-coin,0.228969%
2016-01-01,groestlcoin,0.158813%
2016-01-01,nexus,0.15877%
2015-12-01,bitcoin,48.9006%
2015-12-01,litecoin,8.29929%
2015-12-01,ripple,8.11445%
2015-12-01,ethereum,5.59071%
2015-12-01,dogecoin,2.47985%
2015-12-01,dash,2.44965%
2015-12-01,peercoin,2.08655%
2015-12-01,stellar,2.02459%
2015-12-01,bitshares,1.95558%
2015-12-01,nxt,1.6874%
2015-12-01,maidsafecoin,1.63622%
2015-12-01,namecoin,1.63166%
2015-12-01,bytecoin-bcn,1.44419%
2015-12-01,monero,1.36619%
2015-12-01,counterparty,1.00265%
2015-12-01,blackcoin,0.91116%
2015-12-01,monacoin,0.905847%
2015-12-01,emercoin,0.885469%
2015-12-01,digibyte,0.689729%
2015-12-01,bitcoindark,0.679767%
2015-12-01,nem,0.662052%
2015-12-01,gamecredits,0.635889%
2015-12-01,cloakcoin,0.630118%
2015-12-01,supernet-unity,0.595646%
2015-12-01,faircoin,0.490284%
2015-12-01,digitalnote,0.46433%
2015-12-01,vertcoin,0.458755%
2015-12-01,tether,0.456865%
2015-12-01,gulden,0.449367%
2015-12-01,feathercoin,0.415112%
2015-11-01,bitcoin,46.1301%
2015-11-01,ripple,8.70891%
2015-11-01,litecoin,8.40875%
2015-11-01,ethereum,5.57412%
2015-11-01,dash,2.57812%
2015-11-01,dogecoin,2.51609%
2015-11-01,bitshares,2.25229%
2015-11-01,stellar,2.17256%
2015-11-01,peercoin,2.05636%
2015-11-01,nxt,1.91431%
2015-11-01,maidsafecoin,1.8492%
2015-11-01,bytecoin-bcn,1.70582%
2015-11-01,namecoin,1.51842%
2015-11-01,monero,1.42066%
2015-11-01,counterparty,1.03534%
2015-11-01,blackcoin,0.97793%
2015-11-01,monacoin,0.892704%
2015-11-01,digibyte,0.842668%
2015-11-01,emercoin,0.783244%
2015-11-01,bitcoindark,0.763386%
2015-11-01,supernet-unity,0.756436%
2015-11-01,nem,0.750501%
2015-11-01,cloakcoin,0.73819%
2015-11-01,gamecredits,0.626054%
2015-11-01,digitalnote,0.577964%
2015-11-01,vertcoin,0.548171%
2015-11-01,faircoin,0.526337%
2015-11-01,gulden,0.483623%
2015-11-01,tether,0.467102%
2015-11-01,feathercoin,0.42461%
2015-10-01,bitcoin,42.6315%
2015-10-01,ripple,10.5729%
2015-10-01,litecoin,8.1172%
2015-10-01,ethereum,5.40131%
2015-10-01,bitshares,2.86438%
2015-10-01,dash,2.70756%
2015-10-01,dogecoin,2.56772%
2015-10-01,stellar,2.31623%
2015-10-01,maidsafecoin,2.19792%
2015-10-01,nxt,2.14854%
2015-10-01,peercoin,2.14696%
2015-10-01,bytecoin-bcn,1.71001%
2015-10-01,namecoin,1.59379%
2015-10-01,monero,1.50758%
2015-10-01,counterparty,1.09452%
2015-10-01,monacoin,1.05716%
2015-10-01,blackcoin,1.0481%
2015-10-01,bitcoindark,0.905725%
2015-10-01,supernet-unity,0.902016%
2015-10-01,nem,0.786136%
2015-10-01,digitalnote,0.75939%
2015-10-01,emercoin,0.753433%
2015-10-01,vertcoin,0.678627%
2015-10-01,gamecredits,0.614244%
2015-10-01,faircoin,0.553438%
2015-10-01,tether,0.48862%
2015-10-01,cloakcoin,0.48277%
2015-10-01,digibyte,0.466998%
2015-10-01,gulden,0.464289%
2015-10-01,feathercoin,0.460945%
2015-09-01,bitcoin,41.2156%
2015-09-01,ripple,11.2654%
2015-09-01,litecoin,8.05875%
2015-09-01,jinn,6.76767%
2015-09-01,dash,2.75583%
2015-09-01,dogecoin,2.6102%
2015-09-01,bytecoin-bcn,2.35505%
2015-09-01,stellar,2.33523%
2015-09-01,maidsafecoin,2.15247%
2015-09-01,bitshares,2.11233%
2015-09-01,nxt,2.06002%
2015-09-01,peercoin,1.99685%
2015-09-01,namecoin,1.56545%
2015-09-01,monero,1.50753%
2015-09-01,counterparty,1.1432%
2015-09-01,monacoin,1.12422%
2015-09-01,blackcoin,0.953181%
2015-09-01,bitcoindark,0.859795%
2015-09-01,supernet-unity,0.848504%
2015-09-01,syscoin,0.848012%
2015-09-01,digitalnote,0.761798%
2015-09-01,vertcoin,0.739955%
2015-09-01,nem,0.671783%
2015-09-01,faircoin,0.644772%
2015-09-01,feathercoin,0.492111%
2015-09-01,emercoin,0.479759%
2015-09-01,tether,0.479665%
2015-09-01,blocknet,0.473661%
2015-09-01,reddcoin,0.374253%
2015-09-01,digibyte,0.346927%
2015-08-01,bitcoin,43.5157%
2015-08-01,ripple,10.9713%
2015-08-01,litecoin,9.26645%
2015-08-01,dash,3.06781%
2015-08-01,dogecoin,2.90558%
2015-08-01,maidsafecoin,2.62658%
2015-08-01,stellar,2.52741%
2015-08-01,bitshares,2.43923%
2015-08-01,nxt,2.3737%
2015-08-01,peercoin,2.36817%
2015-08-01,bytecoin-bcn,2.22527%
2015-08-01,namecoin,1.88824%
2015-08-01,monero,1.5184%
2015-08-01,counterparty,1.4294%
2015-08-01,monacoin,1.1804%
2015-08-01,blackcoin,1.08047%
2015-08-01,bitcoindark,0.969283%
2015-08-01,supernet-unity,0.964491%
2015-08-01,digitalnote,0.891076%
2015-08-01,nem,0.820849%
2015-08-01,vertcoin,0.758262%
2015-08-01,faircoin,0.610151%
2015-08-01,feathercoin,0.598217%
2015-08-01,jinn,0.485147%
2015-08-01,tether,0.453676%
2015-08-01,emercoin,0.453537%
2015-08-01,reddcoin,0.444703%
2015-08-01,digibyte,0.407251%
2015-08-01,blocknet,0.382172%
2015-08-01,syscoin,0.377089%
2015-07-01,bitcoin,41.994%
2015-07-01,ripple,13.302%
2015-07-01,litecoin,7.88412%
2015-07-01,dogecoin,3.16451%
2015-07-01,bitshares,2.98321%
2015-07-01,stellar,2.89877%
2015-07-01,dash,2.77046%
2015-07-01,nxt,2.50597%
2015-07-01,peercoin,2.1558%
2015-07-01,maidsafecoin,2.04267%
2015-07-01,namecoin,1.716%
2015-07-01,bytecoin-bcn,1.59482%
2015-07-01,monero,1.42679%
2015-07-01,blackcoin,1.33993%
2015-07-01,monacoin,1.26489%
2015-07-01,counterparty,1.25286%
2015-07-01,vertcoin,1.16347%
2015-07-01,supernet-unity,1.11365%
2015-07-01,bitcoindark,1.01522%
2015-07-01,faircoin,0.900826%
2015-07-01,nem,0.829389%
2015-07-01,digitalnote,0.823776%
2015-07-01,feathercoin,0.617545%
2015-07-01,emercoin,0.517138%
2015-07-01,tether,0.47376%
2015-07-01,digibyte,0.470074%
2015-07-01,jinn,0.464062%
2015-07-01,blocknet,0.448475%
2015-07-01,syscoin,0.439305%
2015-07-01,reddcoin,0.426525%
2015-06-01,bitcoin,44.4174%
2015-06-01,ripple,11.9581%
2015-06-01,litecoin,6.41332%
2015-06-01,bitshares,3.08703%
2015-06-01,dogecoin,3.07071%
2015-06-01,stellar,3.03524%
2015-06-01,dash,2.96364%
2015-06-01,nxt,2.61324%
2015-06-01,maidsafecoin,2.13117%
2015-06-01,peercoin,2.06542%
2015-06-01,bytecoin-bcn,1.76173%
2015-06-01,namecoin,1.51685%
2015-06-01,monero,1.44712%
2015-06-01,faircoin,1.43338%
2015-06-01,blackcoin,1.27329%
2015-06-01,counterparty,1.22444%
2015-06-01,monacoin,1.20796%
2015-06-01,supernet-unity,1.08517%
2015-06-01,gulden,0.984605%
2015-06-01,nav-coin,0.982589%
2015-06-01,bitcoindark,0.850776%
2015-06-01,digitalnote,0.677363%
2015-06-01,jinn,0.546116%
2015-06-01,digibyte,0.517031%
2015-06-01,tether,0.509317%
2015-06-01,blocknet,0.49251%
2015-06-01,feathercoin,0.465382%
2015-06-01,reddcoin,0.438197%
2015-06-01,burst,0.423979%
2015-06-01,potcoin,0.406847%
2015-05-01,bitcoin,46.2682%
2015-05-01,ripple,12.9746%
2015-05-01,litecoin,5.97211%
2015-05-01,dash,3.29597%
2015-05-01,stellar,2.92218%
2015-05-01,bitshares,2.65255%
2015-05-01,dogecoin,2.6136%
2015-05-01,maidsafecoin,2.59241%
2015-05-01,nxt,2.48748%
2015-05-01,peercoin,1.8414%
2015-05-01,bytecoin-bcn,1.6959%
2015-05-01,monero,1.65557%
2015-05-01,namecoin,1.57607%
2015-05-01,counterparty,1.27429%
2015-05-01,monacoin,1.09296%
2015-05-01,supernet-unity,1.07654%
2015-05-01,gulden,0.94119%
2015-05-01,bitcoindark,0.851787%
2015-05-01,blackcoin,0.848822%
2015-05-01,faircoin,0.819075%
2015-05-01,digibyte,0.56662%
2015-05-01,digitalnote,0.533004%
2015-05-01,reddcoin,0.477538%
2015-05-01,blocknet,0.465364%
2015-05-01,jinn,0.428796%
2015-05-01,feathercoin,0.423432%
2015-05-01,potcoin,0.420951%
2015-05-01,burst,0.418894%
2015-05-01,tether,0.41012%
2015-05-01,nav-coin,0.40251%
2015-04-01,bitcoin,45.6685%
2015-04-01,ripple,13.1102%
2015-04-01,litecoin,6.16657%
2015-04-01,dash,3.77963%
2015-04-01,bitshares,3.18053%
2015-04-01,dogecoin,2.76412%
2015-04-01,stellar,2.72294%
2015-04-01,nxt,2.53599%
2015-04-01,maidsafecoin,2.37907%
2015-04-01,peercoin,2.10811%
2015-04-01,monero,1.77766%
2015-04-01,namecoin,1.67228%
2015-04-01,counterparty,1.367%
2015-04-01,monacoin,1.25483%
2015-04-01,bytecoin-bcn,1.12209%
2015-04-01,supernet-unity,1.11927%
2015-04-01,bitcoindark,0.844252%
2015-04-01,blackcoin,0.805923%
2015-04-01,digitalnote,0.677708%
2015-04-01,digibyte,0.589829%
2015-04-01,reddcoin,0.546482%
2015-04-01,faircoin,0.514793%
2015-04-01,nav-coin,0.470036%
2015-04-01,blocknet,0.45795%
2015-04-01,jinn,0.439264%
2015-04-01,gulden,0.4204%
