Bitwise Asset Management
Bitwise 10 Large Cap Crypto Index (BITX)
Data as of 07/07/2021 4pm EDT
Index Inception Date: 10/01/2017 8pm EDT
Please read important disclosures below the data.

Date,BITX,% Change
Sun Jun 11 2017 00:00:00 GMT+0000,5278.26,6.44%
Mon Jun 12 2017 00:00:00 GMT+0000,5387.94,2.08%
Tue Jun 13 2017 00:00:00 GMT+0000,5298.27,-1.66%
Wed Jun 14 2017 00:00:00 GMT+0000,5424.76,2.39%
Thu Jun 15 2017 00:00:00 GMT+0000,5061.1,-6.70%
Fri Jun 16 2017 00:00:00 GMT+0000,5006.43,-1.08%
Sat Jun 17 2017 00:00:00 GMT+0000,5107.61,2.02%
Sun Jun 18 2017 00:00:00 GMT+0000,5359.5,4.93%
Mon Jun 19 2017 00:00:00 GMT+0000,5256.31,-1.93%
Tue Jun 20 2017 00:00:00 GMT+0000,5337.43,1.54%
Wed Jun 21 2017 00:00:00 GMT+0000,5439.57,1.91%
Thu Jun 22 2017 00:00:00 GMT+0000,5246.22,-3.55%
Fri Jun 23 2017 00:00:00 GMT+0000,5241.94,-0.08%
Sat Jun 24 2017 00:00:00 GMT+0000,5370.26,2.45%
Sun Jun 25 2017 00:00:00 GMT+0000,5112.18,-4.81%
Mon Jun 26 2017 00:00:00 GMT+0000,4953.65,-3.10%
Tue Jun 27 2017 00:00:00 GMT+0000,4628.09,-6.57%
Wed Jun 28 2017 00:00:00 GMT+0000,4793.73,3.58%
Thu Jun 29 2017 00:00:00 GMT+0000,5001.94,4.34%
Fri Jun 30 2017 00:00:00 GMT+0000,4799.01,-4.06%
Sat Jul 01 2017 00:00:00 GMT+0000,4693.34,-2.20%
Sun Jul 02 2017 00:00:00 GMT+0000,4504.51,-4.02%
Mon Jul 03 2017 00:00:00 GMT+0000,4655.24,3.35%
Tue Jul 04 2017 00:00:00 GMT+0000,4706.9,1.11%
Wed Jul 05 2017 00:00:00 GMT+0000,4719.87,0.28%
Thu Jul 06 2017 00:00:00 GMT+0000,4710.87,-0.19%
Fri Jul 07 2017 00:00:00 GMT+0000,4713.1,0.05%
Sat Jul 08 2017 00:00:00 GMT+0000,4427.52,-6.06%
Sun Jul 09 2017 00:00:00 GMT+0000,4526.57,2.24%
Mon Jul 10 2017 00:00:00 GMT+0000,4409.48,-2.59%
Tue Jul 11 2017 00:00:00 GMT+0000,3992.37,-9.46%
Wed Jul 12 2017 00:00:00 GMT+0000,3819.87,-4.32%
Thu Jul 13 2017 00:00:00 GMT+0000,4170.82,9.19%
Fri Jul 14 2017 00:00:00 GMT+0000,3980.99,-4.55%
Sat Jul 15 2017 00:00:00 GMT+0000,3766.1,-5.40%
Sun Jul 16 2017 00:00:00 GMT+0000,3319.45,-11.86%
Mon Jul 17 2017 00:00:00 GMT+0000,3178.53,-4.25%
Tue Jul 18 2017 00:00:00 GMT+0000,3715.14,16.88%
Wed Jul 19 2017 00:00:00 GMT+0000,4015.66,8.09%
Thu Jul 20 2017 00:00:00 GMT+0000,3760.35,-6.36%
Fri Jul 21 2017 00:00:00 GMT+0000,4458.55,18.57%
Sat Jul 22 2017 00:00:00 GMT+0000,4252.77,-4.62%
Sun Jul 23 2017 00:00:00 GMT+0000,4489.3,5.56%
Mon Jul 24 2017 00:00:00 GMT+0000,4392.26,-2.16%
Tue Jul 25 2017 00:00:00 GMT+0000,4408.91,0.38%
Wed Jul 26 2017 00:00:00 GMT+0000,4099.4,-7.02%
Thu Jul 27 2017 00:00:00 GMT+0000,4055.71,-1.07%
Fri Jul 28 2017 00:00:00 GMT+0000,4173.08,2.89%
Sat Jul 29 2017 00:00:00 GMT+0000,4189.05,0.38%
Sun Jul 30 2017 00:00:00 GMT+0000,4199.59,0.25%
Mon Jul 31 2017 00:00:00 GMT+0000,4155.21,-1.06%
Tue Aug 01 2017 00:00:00 GMT+0000,4301.71,3.53%
Wed Aug 02 2017 00:00:00 GMT+0000,4326.76,0.58%
Thu Aug 03 2017 00:00:00 GMT+0000,4266.78,-1.39%
Fri Aug 04 2017 00:00:00 GMT+0000,4398.65,3.09%
Sat Aug 05 2017 00:00:00 GMT+0000,4465.56,1.52%
Sun Aug 06 2017 00:00:00 GMT+0000,5008.17,12.15%
Mon Aug 07 2017 00:00:00 GMT+0000,4969.68,-0.77%
Tue Aug 08 2017 00:00:00 GMT+0000,5170.76,4.05%
Wed Aug 09 2017 00:00:00 GMT+0000,5410.85,4.64%
Thu Aug 10 2017 00:00:00 GMT+0000,5322.26,-1.64%
Fri Aug 11 2017 00:00:00 GMT+0000,5386.8,1.21%
Sat Aug 12 2017 00:00:00 GMT+0000,5679.97,5.44%
Sun Aug 13 2017 00:00:00 GMT+0000,5873.7,3.41%
Mon Aug 14 2017 00:00:00 GMT+0000,5999.1,2.13%
Tue Aug 15 2017 00:00:00 GMT+0000,6232.59,3.89%
