,copula,risk_measure,h,file,HE,likelihood,AIC,AIC_selected
992,Clayton,ES q=0.05,1.1185546874999999,135.csv,0.4549266431212936,100.70232934155774,-199.40465868311549,0
993,Clayton,ES q=0.05,1.13193359375,128.csv,0.436681362933352,49.57913007584027,-97.15826015168054,0
994,Clayton,Variance,0.9861328125,60.csv,0.641243453357409,124.19999235942991,-246.39998471885983,0
995,Clayton,ES q=0.05,1.1339843750000003,126.csv,0.43520412777262996,80.11297494280528,-158.22594988561056,0
996,Clayton,VaR q=0.05,0.8545898437499999,183.csv,0.05922348020738055,94.0388054354595,-186.077610870919,0
997,Clayton,VaR q=0.05,1.4275390625000015,91.csv,0.4815844422673218,75.36186116267632,-148.72372232535264,0
998,Clayton,ERM k=10,1.3745117187500009,111.csv,0.43654492429601965,-424.35937064804193,850.7187412960839,0
999,Clayton,ES q=0.01,0.7035156249999998,123.csv,0.2892254505728715,14.515846649133975,-27.03169329826795,0
1000,Clayton,VaR q=0.05,0.99189453125,139.csv,0.350679832611269,116.92716482163583,-231.85432964327165,0
1001,Clayton,VaR q=0.01,1.1996093750000005,105.csv,0.4948936055686395,-277.42523822813695,556.8504764562739,0
1002,Clayton,VaR q=0.01,1.2623046875000004,135.csv,0.5658812613805478,100.70232934155774,-199.40465868311549,0
1003,Clayton,ES q=0.01,0.9620117187499999,13.csv,0.4589950129963267,138.59925334833812,-275.19850669667625,0
1004,Clayton,VaR q=0.01,1.4878906250000012,139.csv,0.4873143439050378,116.92716482163583,-231.85432964327165,0
1005,Clayton,ES q=0.01,0.83916015625,111.csv,0.34866870002015815,-424.35937064804193,850.7187412960839,0
1006,Clayton,VaR q=0.01,1.273632812500001,128.csv,0.5286887308525292,49.57913007584027,-97.15826015168054,0
1007,Clayton,VaR q=0.05,0.7924804687499998,48.csv,0.4487834522223968,122.00490857245268,-242.00981714490536,0
1008,Clayton,ERM k=10,0.9317382812499999,63.csv,0.3604595765438313,126.02826295400423,-250.05652590800847,0
